cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
1,2,5,-1.1215625763,-1.4688580366,4,0.0000000000,0.0000000000
2,2,10,-0.4312966421,-1.7686935484,4,0.0098829310,0.0098829310
3,2,11,-0.2674233178,-1.7858370329,4,0.0151309503,0.0151309503
4,2,12,-0.1176513747,-1.8169658774,4,0.0072258312,0.0072258312
5,3,3,-1.3715889988,-1.2197448213,4,0.0046949869,0.0046949869
6,3,4,-1.2863306248,-1.2830189910,4,0.0086243490,0.0086243490
7,3,5,-1.1911053571,-1.3488952446,4,0.0134489238,0.0134489238
8,3,6,-1.0815221777,-1.4164130264,4,0.0193689766,0.0193689766
9,3,7,-0.9552384208,-1.4836099273,4,0.0263322001,0.0263322001
10,3,8,-0.8110702181,-1.5478436187,4,0.0340385798,0.0340385798
11,3,9,-0.6487663853,-1.6054830900,4,0.0420567715,0.0420567715
12,3,10,-0.4680989197,-1.6332889088,4,0.0447114862,0.0447114862
13,3,11,-0.2655966544,-1.6482182746,4,0.0374906088,0.0374906088
14,3,12,-0.0683991830,-1.7012089250,4,0.0415406978,0.0415406978
15,3,13,0.1218076974,-1.7405274488,4,0.0424059746,0.0424059746
16,3,14,0.3215872005,-1.7453617337,4,0.0302212484,0.0302212484
17,3,15,0.5064185718,-1.7421540174,4,0.0139563698,0.0139563698
18,4,3,-1.4548038331,-1.0948099672,4,0.0095025968,0.0095025968
19,4,4,-1.3578633542,-1.1362991406,4,0.0117093433,0.0117093433
20,4,5,-1.2506930337,-1.1836392858,4,0.0155525664,0.0155525664
21,4,6,-1.1280385046,-1.2331766408,4,0.0209920870,0.0209920870
22,4,7,-0.9871852535,-1.2826749567,4,0.0274728539,0.0274728539
23,4,8,-0.8278993306,-1.3304585611,4,0.0341951114,0.0341951114
24,4,9,-0.6513349649,-1.3745687668,4,0.0401057127,0.0401057127
25,4,10,-0.4593302927,-1.4121304702,4,0.0434664813,0.0434664813
26,4,11,-0.2541918480,-1.4491538018,4,0.0436859667,0.0436859667
27,4,12,-0.0428419820,-1.4954278141,4,0.0445758305,0.0445758305
28,4,13,0.1718474330,-1.5439105376,4,0.0433992267,0.0433992267
29,4,14,0.3905141041,-1.5904150116,4,0.0378484953,0.0378484953
30,4,15,0.6077939533,-1.6391848666,4,0.0327281729,0.0327281729
31,4,16,0.7988467022,-1.6380091915,4,0.0126433742,0.0126433742
32,5,3,-1.5449105228,-0.9499057063,4,0.0125904215,0.0125904215
33,5,4,-1.4465216242,-0.9799016062,4,0.0133632420,0.0133632420
34,5,5,-1.3365182948,-1.0149542627,4,0.0166307932,0.0166307932
35,5,6,-1.2059193535,-1.0501500292,4,0.0227646151,0.0227646151
36,5,7,-1.0511209880,-1.0847323867,4,0.0299518842,0.0299518842
37,5,8,-0.8748009911,-1.1193895677,4,0.0368415977,0.0368415977
38,5,9,-0.6809622655,-1.1548811524,4,0.0425950722,0.0425950722
39,5,10,-0.4729871263,-1.1921743710,4,0.0467366879,0.0467366879
40,5,11,-0.2532751849,-1.2344135323,4,0.0493923044,0.0493923044
41,5,12,-0.0236829974,-1.2861982863,4,0.0513447629,0.0513447629
42,5,13,0.2152757181,-1.3509155186,4,0.0513214551,0.0513214551
43,5,14,0.4618236550,-1.4328236061,4,0.0458726498,0.0458726498
44,5,15,0.7058218502,-1.5327296862,4,0.0295917788,0.0295917788
45,5,16,0.8610225133,-1.6034874658,4,-0.0017938081,0.0017938081
46,6,2,-1.5605257639,-1.0423072662,4,0.0000567640,0.0000567640
47,6,3,-1.6372060469,-0.7874019532,4,0.0118189981,0.0118189981
48,6,4,-1.5526992572,-0.8171356285,4,0.0110416258,0.0110416258
49,6,5,-1.4552729456,-0.8478462200,4,0.0139548030,0.0139548030
50,6,6,-1.3253111954,-0.8686672629,4,0.0248793796,0.0248793796
51,6,7,-1.1524939049,-0.8867322184,4,0.0350718021,0.0350718021
52,6,8,-0.9522787119,-0.9067495695,4,0.0429876131,0.0429876131
53,6,9,-0.7352028847,-0.9318519547,4,0.0487957732,0.0487957732
54,6,10,-0.5069089927,-0.9634577818,4,0.0532014851,0.0532014851
55,6,11,-0.2693268172,-1.0030727603,4,0.0573790894,0.0573790894
56,6,12,-0.0205975016,-1.0543166942,4,0.0630737689,0.0630737689
57,6,13,0.2455481997,-1.1273063205,4,0.0711472116,0.0711472116
58,6,14,0.5343732103,-1.2400435049,4,0.0789114558,0.0789114558
59,6,15,0.8554310461,-1.4198275881,4,0.0926816872,0.0926816872
60,7,3,-1.7147339002,-0.6382045860,4,0.0043349988,0.0043349988
61,7,4,-1.5548399989,-0.7996603497,4,0.0011239900,0.0011239900
62,7,5,-1.7793190008,-0.5919590590,4,-0.0022388079,0.0022388079
63,7,6,-1.5178982575,-0.6966228179,4,0.0330065514,0.0330065514
64,7,7,-1.3020821908,-0.6857752925,4,0.0481666499,0.0481666499
65,7,8,-1.0596431258,-0.6852161790,4,0.0555914289,0.0555914289
66,7,9,-0.8092330500,-0.6974636930,4,0.0593388757,0.0593388757
67,7,10,-0.5570115751,-0.7208501778,4,0.0615376068,0.0615376068
68,7,11,-0.3045202698,-0.7516671444,4,0.0645571810,0.0645571810
69,7,12,-0.0469920762,-0.7846218810,4,0.0746722419,0.0746722419
70,7,13,0.2373873804,-0.8344253662,4,0.1009527084,0.1009527084
71,7,14,0.5560471247,-0.9345862284,4,0.1224971929,0.1224971929
72,7,15,0.9006763087,-1.0917887052,4,0.1699938343,0.1699938343
73,7,16,1.1803847118,-1.1151823027,4,0.1313903769,0.1313903769
74,7,17,1.4231486841,-1.0126228764,4,0.0780362211,0.0780362211
75,8,6,-1.6837928445,-0.5518899999,4,0.0281746721,0.0281746721
76,8,7,-1.5043280054,-0.4670830314,4,0.0871272295,0.0871272295
77,8,8,-1.1832661797,-0.4414211162,4,0.0802787630,0.0802787630
78,8,9,-0.8874197795,-0.4438302050,4,0.0753795074,0.0753795074
