cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
1,2,5,115.7500000000,39.5500000000,4.0604105973,232.644390,0.9903233032,1.8417748077,-1.1175156121,-1.4639990775,0.1152714532,0.0132875079,0.0132875079,4.0608299686,1.8375882179,-1.1143626946,-1.4611386805
2,2,10,116.2500000000,39.5500000000,4.4610862378,255.601413,0.9865029433,1.8385275018,-0.4571792658,-1.7807780586,0.1500044194,0.0225013258,0.0225013258,4.4634402271,1.8295374845,-0.4507710628,-1.7731364460
3,2,11,116.3500060000,39.5500000000,4.5599685007,261.266950,0.9055534122,1.7697204004,-0.2686984051,-1.7492030936,0.1367411548,0.0186981434,0.0186981434,4.5610282092,1.7580710311,-0.2650880768,-1.7379706735
4,2,12,116.4500000000,39.5500000000,4.6646783981,267.266385,0.9382186996,1.7974858946,-0.0857265669,-1.7954404744,0.1348387957,0.0181815008,0.0181815008,4.6615882395,1.7664921535,-0.0897005166,-1.7642132371
5,3,3,115.5500000000,39.6500000000,3.8707019453,221.774885,0.9726440520,1.8267474442,-1.3623299578,-1.2169894457,0.1047182399,0.0109659098,0.0109659098,3.8728190928,1.8247061133,-1.3582308835,-1.2185078034
6,3,4,115.6499940000,39.6500000000,3.9274306877,225.025203,0.9292938377,1.7898997621,-1.2650934145,-1.2662068595,0.1096768303,0.0120290071,0.0120290071,3.9283220867,1.7838767965,-1.2597110102,-1.2630695134
7,3,5,115.7500000000,39.6500000000,3.9917675042,228.711431,0.9109919239,1.7743431353,-1.1708034654,-1.3332339656,0.1146373978,0.0131417330,0.0131417330,3.9907338184,1.7850564820,-1.1792585229,-1.3400656627
8,3,6,115.8500060000,39.6500000000,4.0608075595,232.667135,0.8675382057,1.7374074748,-1.0536413672,-1.3814574199,0.1207678757,0.0145848798,0.0145848798,4.0608345185,1.7259056308,-1.0466291395,-1.3723402241
9,3,7,115.9500000000,39.6500000000,4.1403339711,237.223662,0.8772913296,1.7456976302,-0.9450526538,-1.4677655458,0.1281793161,0.0164299371,0.0164299371,4.1393010819,1.7452164029,-0.9463072532,-1.4663842865
10,3,8,116.0500000000,39.6500000000,4.2258691790,242.124469,0.8958672389,1.7614871531,-0.8235874592,-1.5570936669,0.1429676329,0.0204397440,0.0204397440,4.2265928359,1.7644449470,-0.8238414731,-1.5603048415
11,3,9,116.1499940000,39.6500000000,4.3228451954,247.680785,0.8998633247,1.7648838260,-0.6702436091,-1.6326629853,0.1441770811,0.0207870307,0.0207870307,4.3227149110,1.7646658767,-0.6703735178,-1.6323740389
12,3,10,116.2500000000,39.6500000000,4.4225104382,253.391183,0.8694676481,1.7390475009,-0.4970820977,-1.6664920037,0.1564699457,0.0244828439,0.0244828439,4.4270593908,1.7639016464,-0.4964919767,-1.6925852225
13,3,11,116.3500060000,39.6500000000,4.5373539173,259.971230,0.7938731379,1.6747921672,-0.2916527713,-1.6492020690,0.1410977561,0.0199085768,0.0199085768,4.5381799154,1.6762398534,-0.2905413607,-1.6508681848
14,3,12,116.4500000000,39.6500000000,4.6571341293,266.834130,0.8127992514,1.6908793637,-0.0933817533,-1.6882988097,0.1407760554,0.0198178978,0.0198178978,4.6537894443,1.6494547773,-0.0966019756,-1.6466235516
15,3,13,116.5500000000,39.6500000000,4.7742575340,273.544807,0.9025886078,1.7672003167,0.1092643909,-1.7638192232,0.1633747553,0.0266913107,0.0266913107,4.7709885165,1.7946159192,0.1051034837,-1.7915355300
16,3,14,116.6499940000,39.6500000000,4.8840882289,279.837642,0.9317231331,1.7919646631,0.3061694510,-1.7656153662,0.1516262418,0.0229905172,0.0229905172,4.8865980454,1.7909496294,0.3104239177,-1.7638417067
17,3,15,116.7500000000,39.6500000000,4.9979436897,286.361080,0.9370046491,1.7964539517,0.5060426488,-1.7237075269,0.1399797847,0.0195943401,0.0195943401,4.9977185700,1.8026506451,0.5073988019,-1.7297675578
18,4,3,115.5500000000,39.7500000000,3.7922048698,217.277334,0.9352110450,1.7949293882,-1.4282489076,-1.0871414658,0.1123481011,0.0126220958,0.0126220958,3.7908981090,1.8008937424,-1.4344189532,-1.0888804058
19,4,4,115.6499940000,39.7500000000,3.8430169873,220.188654,0.8560957985,1.7276814287,-1.3198170154,-1.1148839244,0.1187873830,0.0141104424,0.0141104424,3.8451629198,1.7164244502,-1.3088376468,-1.1104309557
20,4,5,115.7500000000,39.7500000000,3.9058041323,223.786092,0.7954170550,1.6761044968,-1.2100271246,-1.1598106060,0.1248134128,0.0155783880,0.0155783880,3.9073853125,1.6770950678,-1.2089057797,-1.1624089995
21,4,6,115.8500060000,39.7500000000,3.9805825594,228.070581,0.7745637840,1.6583792164,-1.1081532791,-1.2337819642,0.1246336224,0.0155335398,0.0155335398,3.9788421363,1.6720853620,-1.1194752827,-1.2420324268
22,4,7,115.9500000000,39.7500000000,4.0608445612,232.669255,0.7344214374,1.6242582218,-0.9849748266,-1.2915259819,0.1268830016,0.0160992961,0.0160992961,4.0608302024,1.6142314704,-0.9789128827,-1.2835391728
23,4,8,116.0500000000,39.7500000000,4.1544127816,238.030319,0.7482978373,1.6360531617,-0.8662417798,-1.3879103454,0.1277506839,0.0163202372,0.0163202372,4.1545089333,1.6355803053,-0.8658580010,-1.3875924680
