cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side
1,2,5,115.7500000000,39.5500000000,4.0608299686,232.668419,0.9853979035,1.8375882179,-1.1143626946,-1.4611386805,0.1554741767
2,2,10,116.2500000000,39.5500000000,4.4634402271,255.736287,0.9759264523,1.8295374845,-0.4507710628,-1.7731364460,0.1554741767
3,2,11,116.3500060000,39.5500000000,4.5610282092,261.327667,0.8918482719,1.7580710311,-0.2650880768,-1.7379706735,0.1554741767
4,2,12,116.4500000000,39.5500000000,4.6615882395,267.089332,0.9017554747,1.7664921535,-0.0897005166,-1.7642132371,0.1554741767
5,3,3,115.5500000000,39.6500000000,3.8728190928,221.896189,0.9702424863,1.8247061133,-1.3582308835,-1.2185078034,0.1554741767
6,3,4,115.6499940000,39.6500000000,3.9283220867,225.076276,0.9222079958,1.7838767965,-1.2597110102,-1.2630695134,0.1554741767
7,3,5,115.7500000000,39.6500000000,3.9907338184,228.652205,0.9235958612,1.7850564820,-1.1792585229,-1.3400656627,0.1554741767
8,3,6,115.8500060000,39.6500000000,4.0608345185,232.668679,0.8540066244,1.7259056308,-1.0466291395,-1.3723402241,0.1554741767
9,3,7,115.9500000000,39.6500000000,4.1393010819,237.164482,0.8767251799,1.7452164029,-0.9463072532,-1.4663842865,0.1554741767
10,3,8,116.0500000000,39.6500000000,4.2265928359,242.165931,0.8993469965,1.7644449470,-0.8238414731,-1.5603048415,0.1554741767
11,3,9,116.1499940000,39.6500000000,4.3227149110,247.673320,0.8996069137,1.7646658767,-0.6703735178,-1.6323740389,0.1554741767
12,3,10,116.2500000000,39.6500000000,4.4270593908,253.651819,0.8987078193,1.7639016464,-0.4964919767,-1.6925852225,0.1554741767
13,3,11,116.3500060000,39.6500000000,4.5381799154,260.018556,0.7955762981,1.6762398534,-0.2905413607,-1.6508681848,0.1554741767
14,3,12,116.4500000000,39.6500000000,4.6537894443,266.642494,0.7640644439,1.6494547773,-0.0966019756,-1.6466235516,0.1554741767
15,3,13,116.5500000000,39.6500000000,4.7709885165,273.357506,0.9348422579,1.7946159192,0.1051034837,-1.7915355300,0.1554741767
16,3,14,116.6499940000,39.6500000000,4.8865980454,279.981444,0.9305289758,1.7909496294,0.3104239177,-1.7638417067,0.1554741767
17,3,15,116.7500000000,39.6500000000,4.9977185700,286.348181,0.9442948766,1.8026506451,0.5073988019,-1.7297675578,0.1554741767
18,4,3,115.5500000000,39.7500000000,3.7908981090,217.202462,0.9422279323,1.8008937424,-1.4344189532,-1.0888804058,0.1554741767
19,4,4,115.6499940000,39.7500000000,3.8451629198,220.311607,0.8428522943,1.7164244502,-1.3088376468,-1.1104309557,0.1554741767
20,4,5,115.7500000000,39.7500000000,3.9073853125,223.876687,0.7965824327,1.6770950678,-1.2089057797,-1.1624089995,0.1554741767
21,4,6,115.8500060000,39.7500000000,3.9788421363,227.970862,0.7906886611,1.6720853620,-1.1194752827,-1.2420324268,0.1554741767
22,4,7,115.9500000000,39.7500000000,4.0608302024,232.668432,0.7226252593,1.6142314704,-0.9789128827,-1.2835391728,0.1554741767
23,4,8,116.0500000000,39.7500000000,4.1545089333,238.035828,0.7477415357,1.6355803053,-0.8658580010,-1.3875924680,0.1554741767
24,4,9,116.1499940000,39.7500000000,4.2605365281,244.110762,0.7606200346,1.6465270294,-0.7189277435,-1.4812812556,0.1554741767
25,4,10,116.2500000000,39.7500000000,4.3786866963,250.880268,0.7695315057,1.6541017798,-0.5417899838,-1.5628551793,0.1554741767
26,4,11,116.3500060000,39.7500000000,4.5073209857,258.250469,0.6874170951,1.5843045308,-0.3226178417,-1.5511088210,0.1554741767
27,4,12,116.4500000000,39.7500000000,4.6431664014,266.033838,0.6430968277,1.5466323036,-0.1069763947,-1.5429282334,0.1554741767
28,4,13,116.5500000000,39.7500000000,4.7816115594,273.966162,0.7940230613,1.6749196021,0.1158496819,-1.6709082933,0.1554741767
29,4,14,116.6499940000,39.7500000000,4.9174569751,281.749531,0.7871628136,1.6690883915,0.3398826955,-1.6341162174,0.1554741767
30,4,15,116.7500000000,39.7500000000,5.0460912645,289.119732,0.8031805465,1.6827034645,0.5511582745,-1.5898790853,0.1554741767
31,4,16,116.8500060000,39.7500000000,5.1642414326,295.889238,0.8915803819,1.7578433246,0.7675320916,-1.5814258257,0.1554741767
32,5,3,115.5500000000,39.8500020000,3.6973729683,211.843866,0.9740543511,1.8279461984,-1.5528201881,-0.9644359843,0.1554741767
33,5,4,115.6499940000,39.8500020000,3.7483822082,214.766481,0.8159238190,1.6935352461,-1.3912103305,-0.9657098147,0.1554741767
34,5,5,115.7500000000,39.8500020000,3.8081771378,218.192478,0.7485049877,1.6362292395,-1.2859748625,-1.0116890715,0.1554741767
35,5,6,115.8500060000,39.8500020000,3.8786733326,222.231612,0.6629449512,1.5635032086,-1.1576707346,-1.0508761837,0.1554741767
36,5,7,115.9500000000,39.8500020000,3.9620915165,227.011122,0.6465489455,1.5495666036,-1.0565818763,-1.1334863907,0.1554741767
37,5,8,116.0500000000,39.8500020000,4.0608282541,232.668320,0.5912379617,1.5025522675,-0.9111899724,-1.1947368542,0.1554741767
38,5,9,116.1499940000,39.8500020000,4.1769859944,239.323669,0.6226738768,1.5292727953,-0.7802161306,-1.3152711020,0.1554741767
39,5,10,116.2500000000,39.8500020000,4.3116152435,247.037356,0.6218901792,1.5286066523,-0.5963566654,-1.4074789608,0.1554741767
40,5,11,116.3500060000,39.8500020000,4.4634489297,255.736786,0.5855374385,1.4977068228,-0.3690002479,-1.4515386815,0.1554741767
41,5,12,116.4500000000,39.8500020000,4.6278498418,265.156264,0.5276926729,1.4485387719,-0.1223124066,-1.4433655978,0.1554741767
42,5,13,116.5500000000,39.8500020000,4.7969281189,274.843736,0.6532010484,1.5552208911,0.1313204822,-1.5496667226,0.1554741767
43,5,14,116.6499940000,39.8500020000,4.9613290311,284.263214,0.6511195194,1.5534515915,0.3827344669,-1.5055650683,0.1554741767
44,5,15,116.7500000000,39.8500020000,5.1131627173,292.962644,0.7121460933,1.6053241793,0.6262865420,-1.4781173458,0.1554741767
45,5,16,116.8500060000,39.8500020000,5.2477919663,300.676331,0.8451613520,1.7183871492,0.8766999430,-1.4779213797,0.1554741767
