node,node_type,is_boundary,x,y,r,theta_rad
"('h', 'E')",h,1,1.0000000000,0.0000000000,1.0000000000,0.0000000000
"('h', 'N')",h,1,0.0000000000,1.0000000000,1.0000000000,1.5707963268
"('h', 'S')",h,1,-0.0000000000,-1.0000000000,1.0000000000,4.7123889804
"('h', 'W')",h,1,-1.0000000000,0.0000000000,1.0000000000,3.1415926536
"('v', 2, 5)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 2, 6)",v,1,-1.0269070274,-1.5388183639,1.8500000000,4.1239239736
"('v', 2, 10)",v,1,-0.5087049356,-1.7786847074,1.8500000000,4.4338246139
"('v', 2, 11)",v,1,-0.3464921492,-1.8172625541,1.8500000000,4.5239832729
"('v', 2, 12)",v,1,-0.1755605792,-1.8416510210,1.8500000000,4.6173483554
"('v', 2, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 3)",v,1,-1.3629449861,-1.2509520234,1.8500000000,3.8841717967
"('v', 3, 4)",v,1,-1.2952542905,-1.3209149567,1.8500000000,3.9367989911
"('v', 3, 5)",v,1,-1.2155623023,-1.3945996878,1.8500000000,3.9954759878
"('v', 3, 6)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 3, 7)",v,1,-1.0122627285,-1.5484909326,1.8500000000,4.1334106739
"('v', 3, 8)",v,1,-0.8850105728,-1.6245788027,1.8500000000,4.2135753167
"('v', 3, 9)",v,1,-0.7391090921,-1.6959415526,1.8500000000,4.3013975120
"('v', 3, 10)",v,1,-0.5747632689,-1.7584502224,1.8500000000,4.3964776332
"('v', 3, 11)",v,0,-0.3673874063,-1.7285046911,1.7671168533,4.5029592164
"('v', 3, 12)",v,0,-0.1773935449,-1.7592466114,1.7681677266,4.6118937128
"('v', 3, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 14)",v,1,0.2003765507,-1.8391164286,1.8500000000,4.8209135300
"('v', 3, 15)",v,1,0.3938705687,-1.8075856757,1.8500000000,4.9269341115
"('v', 3, 16)",v,1,0.5747632689,-1.7584502224,1.8500000000,5.0283003275
"('v', 4, 3)",v,1,-1.4539842160,-1.1438662071,1.8500000000,3.8081782105
"('v', 4, 4)",v,0,-1.3657954248,-1.1886156971,1.8105812375,3.8577394740
"('v', 4, 5)",v,0,-1.2697215192,-1.2411099460,1.7755412230,3.9155960519
"('v', 4, 6)",v,0,-1.1608921908,-1.2976691096,1.7411535822,3.9825664380
"('v', 4, 7)",v,0,-1.0359643161,-1.3553785989,1.7059522885,4.0597759470
"('v', 4, 8)",v,0,-0.8933076528,-1.4117492454,1.6706389479,4.1482242381
"('v', 4, 9)",v,0,-0.7326003918,-1.4639848349,1.6370567892,4.2484091967
"('v', 4, 10)",v,0,-0.5542708809,-1.5078673720,1.6065118179,4.3601340774
"('v', 4, 11)",v,0,-0.3583806793,-1.5354187427,1.5766887539,4.4830852107
"('v', 4, 12)",v,0,-0.1576018365,-1.5736574383,1.5815296621,4.6125717875
"('v', 4, 13)",v,0,0.0455828052,-1.6230582253,1.6236981847,4.7404661164
"('v', 4, 14)",v,0,0.2543528282,-1.6571179559,1.6765247630,4.8646914283
"('v', 4, 15)",v,0,0.4611049171,-1.6870834761,1.7489620922,4.9791878191
"('v', 4, 16)",v,1,0.6591676279,-1.7285826675,1.8500000000,5.0767012939
"('v', 4, 17)",v,1,0.8384783153,-1.6490767462,1.8500000000,5.1827762422
"('v', 5, 3)",v,1,-1.5471547517,-1.0143037880,1.8500000000,3.7218896247
"('v', 5, 4)",v,0,-1.4499030340,-1.0429957674,1.7860736208,3.7651911375
"('v', 5, 5)",v,0,-1.3457831777,-1.0806469265,1.7259577460,3.8181525247
"('v', 5, 6)",v,0,-1.2275677880,-1.1223543571,1.6633105474,3.8822475430
"('v', 5, 7)",v,0,-1.0901729919,-1.1645562485,1.5952016826,3.9599687410
"('v', 5, 8)",v,0,-0.9326236905,-1.2060347427,1.5245677252,4.0541434159
"('v', 5, 9)",v,0,-0.7564073211,-1.2463846613,1.4579529345,4.1669251883
"('v', 5, 10)",v,0,-0.5639195780,-1.2853712761,1.4036326470,4.2989540245
"('v', 5, 11)",v,0,-0.3577771958,-1.3239595347,1.3714493688,4.4484602444
"('v', 5, 12)",v,0,-0.1419878689,-1.3688692613,1.3762135043,4.6090322088
"('v', 5, 13)",v,0,0.0815838463,-1.4224968146,1.4248344155,4.7696787893
"('v', 5, 14)",v,0,0.3117771298,-1.4821554025,1.5145922276,4.9197200771
"('v', 5, 15)",v,0,0.5433198758,-1.5467598599,1.6394092081,5.0501887347
"('v', 5, 16)",v,0,0.7664695714,-1.6013322477,1.7753142176,5.1588070537
"('v', 5, 17)",v,1,0.9635700466,-1.5792506974,1.8500000000,5.2602338018
"('v', 6, 2)",v,1,-1.6698999720,-0.7961997762,1.8500000000,3.5865044415
"('v', 6, 3)",v,1,-1.6383421630,-0.8592641952,1.8500000000,3.6246254610
"('v', 6, 4)",v,0,-1.5458315386,-0.8819654190,1.7797354146,3.6600719317
"('v', 6, 5)",v,0,-1.4460573115,-0.9132150985,1.7102758737,3.7048672624
"('v', 6, 6)",v,0,-1.3272151519,-0.9461860942,1.6299595652,3.7609311704
"('v', 6, 7)",v,0,-1.1790640162,-0.9749651585,1.5299506575,3.8325207273
"('v', 6, 8)",v,0,-1.0040187708,-1.0022607789,1.4186544191,3.9261145725
"('v', 6, 9)",v,0,-0.8082101491,-1.0311200582,1.3101191624,4.0475934783
"('v', 6, 10)",v,0,-0.5970032250,-1.0635636107,1.2196640540,4.2008937072
"('v', 6, 11)",v,0,-0.3737573186,-1.1016291530,1.1633062039,4.3852987921
"('v', 6, 12)",v,0,-0.1397988626,-1.1490786113,1.1575514575,4.5913222620
"('v', 6, 13)",v,0,0.1062241309,-1.2115676958,1.2162153787,4.7998403063
"('v', 6, 14)",v,0,0.3668585442,-1.2986791912,1.3495009571,4.9877013555
"('v', 6, 15)",v,0,0.6400132178,-1.4236934643,1.5609356167,5.1348638440
"('v', 6, 16)",v,1,0.9185536732,-1.6058515341,1.8500000000,5.2319688526
"('v', 6, 17)",v,1,1.1219046739,-1.4709962280,1.8500000000,5.3639582861
"('v', 7, 2)",v,1,-1.7419722783,-0.6229226128,1.8500000000,3.4850185683
"('v', 7, 3)",v,1,-1.7215979405,-0.6772005104,1.8500000000,3.5163581697
"('v', 7, 4)",v,0,-1.6542542712,-0.7062415628,1.7987035161,3.5450921812
"('v', 7, 5)",v,0,-1.5790859810,-0.7428373495,1.7450844860,3.5812994239
"('v', 7, 6)",v,0,-1.4772397199,-0.7772306743,1.6692287773,3.6259306717
"('v', 7, 7)",v,0,-1.3142204833,-0.7879261673,1.5323195241,3.6816729649
"('v', 7, 8)",v,0,-1.1110898706,-0.7958094995,1.3666870381,3.7631364794
"('v', 7, 9)",v,0,-0.8865058529,-0.8096985445,1.2006266531,3.8817398575
"('v', 7, 10)",v,0,-0.6507378434,-0.8321069108,1.0563435293,4.0486978704
"('v', 7, 11)",v,0,-0.4081513323,-0.8631770142,0.9548099643,4.2706981289
"('v', 7, 12)",v,0,-0.1584004966,-0.9034296752,0.9172109328,4.5388208057
"('v', 7, 13)",v,0,0.1057684784,-0.9583219764,0.9641410589,4.8223125039
