cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
1,2,5,-1.1215625763,-1.4688580366,4,0.0000000000,0.0000000000
2,2,10,-0.4332029026,-1.7611133972,4,0.0123102579,0.0123102579
3,2,11,-0.2708772670,-1.7740796424,4,0.0191082837,0.0191082837
4,2,12,-0.1200751560,-1.8091824724,4,0.0092451657,0.0092451657
5,3,3,-1.3745902334,-1.2189642957,4,0.0040837788,0.0040837788
6,3,4,-1.2941379714,-1.2815168044,4,0.0073853720,0.0073853720
7,3,5,-1.2029359389,-1.3472128425,4,0.0117179444,0.0117179444
8,3,6,-1.0961728865,-1.4144099775,4,0.0174737557,0.0174737557
9,3,7,-0.9714396386,-1.4810479204,4,0.0246203832,0.0246203832
10,3,8,-0.8279084883,-1.5445175149,4,0.0328057677,0.0328057677
11,3,9,-0.6656816710,-1.6006787615,4,0.0417820760,0.0417820760
12,3,10,-0.4868817493,-1.6190084568,4,0.0456523743,0.0456523743
13,3,11,-0.2851803642,-1.6233977609,4,0.0373838230,0.0373838230
14,3,12,-0.0836718023,-1.6850694695,4,0.0431137676,0.0431137676
15,3,13,0.1106127481,-1.7329077061,4,0.0460424714,0.0460424714
16,3,14,0.3149292041,-1.7393040835,4,0.0333718768,0.0333718768
17,3,15,0.5037079817,-1.7390669645,4,0.0155060660,0.0155060660
18,4,3,-1.4614082721,-1.0928451418,4,0.0080634389,0.0080634389
19,4,4,-1.3769402169,-1.1322635593,4,0.0096363196,0.0096363196
20,4,5,-1.2807015967,-1.1793515553,4,0.0133847274,0.0133847274
21,4,6,-1.1659225940,-1.2278573588,4,0.0194555910,0.0194555910
22,4,7,-1.0293867011,-1.2751357385,4,0.0269236038,0.0269236038
23,4,8,-0.8719772179,-1.3199603561,4,0.0346088651,0.0346088651
24,4,9,-0.6962459946,-1.3599482618,4,0.0413765224,0.0413765224
25,4,10,-0.5048744637,-1.3894549461,4,0.0450124136,0.0450124136
26,4,11,-0.2985324942,-1.4190870630,4,0.0446490552,0.0446490552
27,4,12,-0.0835192506,-1.4672482461,4,0.0472457452,0.0472457452
28,4,13,0.1378975361,-1.5204316289,4,0.0483782669,0.0483782669
29,4,14,0.3682568059,-1.5725718077,4,0.0425752163,0.0425752163
30,4,15,0.5997626031,-1.6341032922,4,0.0354752800,0.0354752800
31,4,16,0.7990663690,-1.6411106538,4,0.0111780303,0.0111780303
32,5,3,-1.5530369405,-0.9478635684,4,0.0103944360,0.0103944360
33,5,4,-1.4710334190,-0.9757622345,4,0.0104868398,0.0104868398
34,5,5,-1.3765474080,-1.0104582568,4,0.0138775915,0.0138775915
35,5,6,-1.2574094988,-1.0426911001,4,0.0215144603,0.0215144603
36,5,7,-1.1083998309,-1.0717296140,4,0.0303754009,0.0303754009
37,5,8,-0.9346069379,-1.1002505948,4,0.0381696588,0.0381696588
38,5,9,-0.7428597639,-1.1297289852,4,0.0440403940,0.0440403940
39,5,10,-0.5376276857,-1.1603999096,4,0.0476474975,0.0476474975
40,5,11,-0.3202864149,-1.1966336075,4,0.0498134771,0.0498134771
41,5,12,-0.0902691635,-1.2452027535,4,0.0533241605,0.0533241605
42,5,13,0.1564566165,-1.3091970479,4,0.0569965082,0.0569965082
43,5,14,0.4208964270,-1.3977189093,4,0.0546200443,0.0546200443
44,5,15,0.6904476873,-1.5195109383,4,0.0390507328,0.0390507328
45,5,16,0.8578957429,-1.6085329194,4,-0.0015778781,0.0015778781
46,6,2,-1.5605257639,-1.0423072662,4,0.0000567640,0.0000567640
47,6,3,-1.6444241292,-0.7860372737,4,0.0094884047,0.0094884047
48,6,4,-1.5752271759,-0.8151917228,4,0.0081029464,0.0081029464
49,6,5,-1.4944775248,-0.8461984067,4,0.0110060414,0.0110060414
50,6,6,-1.3785762069,-0.8612668394,4,0.0242310818,0.0242310818
51,6,7,-1.2125233389,-0.8689532706,4,0.0366783928,0.0366783928
52,6,8,-1.0155285937,-0.8794944932,4,0.0447827015,0.0447827015
53,6,9,-0.8031901506,-0.8981479968,4,0.0494401801,0.0494401801
54,6,10,-0.5825354326,-0.9256771885,4,0.0519051774,0.0519051774
55,6,11,-0.3546142726,-0.9618792982,4,0.0542163931,0.0542163931
56,6,12,-0.1135730919,-1.0076752435,4,0.0602657973,0.0602657973
57,6,13,0.1573906424,-1.0727276109,4,0.0737624638,0.0737624638
58,6,14,0.4673724937,-1.1867671452,4,0.0860151184,0.0860151184
59,6,15,0.8297189280,-1.3957798057,4,0.1081664509,0.1081664509
60,7,3,-1.7185735949,-0.6384314227,4,0.0033967656,0.0033967656
61,7,4,-1.5250387749,-0.8753709815,4,0.0005607707,0.0005607707
62,7,5,-1.7783749154,-0.5881402723,4,-0.0016827510,0.0016827510
63,7,6,-1.5485382543,-0.6909322649,4,0.0317598866,0.0317598866
64,7,7,-1.3483251673,-0.6637355761,4,0.0506955145,0.0506955145
65,7,8,-1.1124077968,-0.6505063183,4,0.0568245195,0.0568245195
66,7,9,-0.8721655296,-0.6575418574,4,0.0580436869,0.0580436869
67,7,10,-0.6348498505,-0.6821998127,4,0.0567919574,0.0567919574
68,7,11,-0.4019432007,-0.7176350847,4,0.0553420528,0.0553420528
69,7,12,-0.1658658702,-0.7511340120,4,0.0619513450,0.0619513450
70,7,13,0.1194424510,-0.7860670837,4,0.1002651861,0.1002651861
71,7,14,0.4654390945,-0.8828198002,4,0.1270534706,0.1270534706
72,7,15,0.8577427856,-1.0725834952,4,0.1841197440,0.1841197440
73,7,16,1.1652845098,-1.1180321635,4,0.1359111986,0.1359111986
74,7,17,1.4159585432,-1.0134816079,4,0.0823474761,0.0823474761
75,8,6,-1.6946934149,-0.5471453392,4,0.0245540880,0.0245540880
76,8,7,-1.5229889624,-0.4453267609,4,0.0873371751,0.0873371751
77,8,8,-1.2150544330,-0.4011257345,4,0.0777888458,0.0777888458
78,8,9,-0.9387823172,-0.3991561024,4,0.0709419967,0.0709419967
79,8,10,-0.6829706967,-0.4278327331,4,0.0625084092,0.0625084092
80,8,11,-0.4524760198,-0.4750128796,4,0.0490434305,0.0490434305
81,8,12,-0.2603153621,-0.4970428651,4,0.0413508435,0.0413508435
82,8,13,0.0168613927,-0.4386594829,4,0.1597366998,0.1597366998
83,8,14,0.4153993766,-0.4871578281,4,0.1488304884,0.1488304884
84,8,15,0.7708547542,-0.5915781002,4,0.1458316523,0.1458316523
85,8,16,1.0836232660,-0.6495793657,4,0.1291461678,0.1291461678
86,8,17,1.3880853348,-0.6625340363,4,0.1312181020,0.1312181020
87,8,18,1.5809384944,-0.5935575182,4,0.0529772566,0.0529772566
88,8,19,1.6744705886,-0.5110758526,4,0.0301059238,0.0301059238
89,8,20,1.7557302574,-0.4341219811,4,0.0199698361,0.0199698361
90,8,21,1.7640604110,-0.5602071003,4,0.0002749263,0.0002749263
91,9,7,-1.6430358247,-0.1623117304,4,0.1422640375,0.1422640375
92,9,8,-1.2901475877,-0.1106789466,4,0.1041874601,0.1041874601
93,9,9,-0.9857100449,-0.1097973883,4,0.0893354756,0.0893354756
94,9,10,-0.7054502552,-0.1545454559,4,0.0766407993,0.0766407993
95,9,11,-0.4541511295,-0.2523491119,4,0.0510734147,0.0510734147
96,9,12,-0.4190970776,-0.4452094017,5,0.2031682283,0.2031682283
97,9,13,-0.2241471909,0.2190666151,5,0.9411037959,0.9411037959
98,9,14,0.4046225393,-0.0343849459,4,0.1716759484,0.1716759484
99,9,15,0.7274791194,-0.1601706178,4,0.1235285981,0.1235285981
100,9,16,1.0120762646,-0.2251336305,4,0.1060195958,0.1060195958
101,9,17,1.2667266859,-0.2482470535,4,0.0924107337,0.0924107337
102,9,18,1.4675910278,-0.2300198495,4,0.0626363940,0.0626363940
103,9,19,1.6203455673,-0.1945914454,4,0.0476703412,0.0476703412
104,9,20,1.7639370761,-0.1577869889,4,0.0447498444,0.0447498444
105,10,7,-1.6537377060,0.2076389184,4,0.1338124610,0.1338124610
106,10,8,-1.3178458167,0.2298807220,4,0.1130015933,0.1130015933
107,10,9,-1.0081925124,0.2255134221,4,0.1107654051,0.1107654051
108,10,10,-0.6979084675,0.1760145112,4,0.1182088855,0.1182088855
109,10,11,-0.3723088435,0.0656512550,4,0.1664426307,0.1664426307
110,10,12,0.2401298897,-0.1965744642,5,0.9571890725,0.9571890725
111,10,13,0.4210312891,0.4666627878,5,0.1670150890,0.1670150890
112,10,14,0.4788156504,0.3112227721,4,0.0607469094,0.0607469094
113,10,15,0.7229771140,0.2139183633,4,0.0839569154,0.0839569154
114,10,16,0.9701958070,0.1573865145,4,0.0860652889,0.0860652889
115,10,17,1.1997178048,0.1277656145,4,0.0774225417,0.0774225417
116,10,18,1.3994124963,0.1195857109,4,0.0628300489,0.0628300489
117,10,19,1.5743647805,0.1255097527,4,0.0542638867,0.0542638867
118,10,20,1.7476736612,0.1412091277,4,0.0551241291,0.0551241291
119,11,6,-1.7199515649,0.5913866770,4,0.0099568407,0.0099568407
120,11,7,-1.5892073918,0.5523120500,4,0.0845551933,0.0845551933
121,11,8,-1.3202982383,0.5958711035,4,0.1023773611,0.1023773611
122,11,9,-1.0309360197,0.6052158319,4,0.1245891747,0.1245891747
123,11,10,-0.7074356650,0.5640353656,4,0.1303416976,0.1303416976
124,11,11,-0.3644022991,0.5093547386,4,0.1447414837,0.1447414837
125,11,12,0.0243403439,0.4961247453,4,0.1707646644,0.1707646644
126,11,13,0.2963027428,0.5821826644,4,0.0506549609,0.0506549609
127,11,14,0.4892450605,0.5802010914,4,0.0611505347,0.0611505347
128,11,15,0.7143525079,0.5443527747,4,0.0755267853,0.0755267853
129,11,16,0.9461819214,0.5122167680,4,0.0791154750,0.0791154750
130,11,17,1.1628206873,0.4823470671,4,0.0708684692,0.0708684692
131,11,18,1.3553633769,0.4554241370,4,0.0589706803,0.0589706803
132,11,19,1.5296298549,0.4367364605,4,0.0512264575,0.0512264575
133,11,20,1.7028089757,0.4323282393,4,0.0510774403,0.0510774403
134,12,6,-1.6363381585,0.7988558702,4,0.0149760917,0.0149760917
