cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
1,2,5,-1.1175156121,-1.4639990775,4,0.0132875079,0.0132875079
2,2,10,-0.4571792658,-1.7807780586,4,0.0225013258,0.0225013258
3,2,11,-0.2686984051,-1.7492030936,4,0.0186981434,0.0186981434
4,2,12,-0.0857265669,-1.7954404744,4,0.0181815008,0.0181815008
5,3,3,-1.3623299578,-1.2169894457,4,0.0109659098,0.0109659098
6,3,4,-1.2650934145,-1.2662068595,4,0.0120290071,0.0120290071
7,3,5,-1.1708034654,-1.3332339656,4,0.0131417330,0.0131417330
8,3,6,-1.0536413672,-1.3814574199,4,0.0145848798,0.0145848798
9,3,7,-0.9450526538,-1.4677655458,4,0.0164299371,0.0164299371
10,3,8,-0.8235874592,-1.5570936669,4,0.0204397440,0.0204397440
11,3,9,-0.6702436091,-1.6326629853,4,0.0207870307,0.0207870307
12,3,10,-0.4970820977,-1.6664920037,4,0.0244828439,0.0244828439
13,3,11,-0.2916527713,-1.6492020690,4,0.0199085768,0.0199085768
14,3,12,-0.0933817533,-1.6882988097,4,0.0198178978,0.0198178978
15,3,13,0.1092643909,-1.7638192232,4,0.0266913107,0.0266913107
16,3,14,0.3061694510,-1.7656153662,4,0.0229905172,0.0229905172
17,3,15,0.5060426488,-1.7237075269,4,0.0195943401,0.0195943401
18,4,3,-1.4282489076,-1.0871414658,4,0.0126220958,0.0126220958
19,4,4,-1.3198170154,-1.1148839244,4,0.0141104424,0.0141104424
20,4,5,-1.2100271246,-1.1598106060,4,0.0155783880,0.0155783880
21,4,6,-1.1081532791,-1.2337819642,4,0.0155335398,0.0155335398
22,4,7,-0.9849748266,-1.2915259819,4,0.0160992961,0.0160992961
23,4,8,-0.8662417798,-1.3879103454,4,0.0163202372,0.0163202372
24,4,9,-0.7187131136,-1.4800728060,4,0.0217440629,0.0217440629
25,4,10,-0.5451586816,-1.5435197169,4,0.0214547934,0.0214547934
26,4,11,-0.3247665038,-1.5520277233,4,0.0224093094,0.0224093094
27,4,12,-0.1037880898,-1.5806582170,4,0.0220232739,0.0220232739
28,4,13,0.1193492256,-1.6391786481,4,0.0289763119,0.0289763119
29,4,14,0.3409862011,-1.6336896570,4,0.0289358513,0.0289358513
30,4,15,0.5554660854,-1.6009825964,4,0.0284285270,0.0284285270
31,4,16,0.7762860841,-1.5918399198,4,0.0268523407,0.0268523407
32,5,3,-1.5315796149,-0.9398069249,4,0.0085233297,0.0085233297
33,5,4,-1.4056023177,-0.9671388571,4,0.0196896254,0.0196896254
34,5,5,-1.2763056453,-1.0055267752,4,0.0127193359,0.0127193359
35,5,6,-1.1681464364,-1.0502233337,4,0.0125009466,0.0125009466
36,5,7,-1.0514730433,-1.1295523561,4,0.0182337203,0.0182337203
37,5,8,-0.9168731880,-1.2031744915,4,0.0183389214,0.0183389214
