cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
1,2,5,1,115.7000000000,39.5000000000,4.0608299284,232.668416,1.0510910645,1.8934274048,-1.1482251330,-1.5055385685
1,2,5,2,115.8000000000,39.5000000000,4.1239245576,236.283472,1.0219044028,1.8686187424,-1.0372411021,-1.5543059225
1,2,5,3,115.8000000000,39.6000000000,4.0608300145,232.668421,0.9197047424,1.7817490310,-1.0805002516,-1.4167387960
1,2,5,4,115.7000000000,39.6000000000,3.9954767028,228.923952,0.9877719026,1.8396061172,-1.2087318989,-1.3867652516
2,2,10,1,116.2000000000,39.5000000000,4.4338249483,254.039457,1.1003334424,1.9352834260,-0.5321551781,-1.8606807371
2,2,10,2,116.3000000000,39.5000000000,4.5239835056,259.205161,0.9911681431,1.8424929217,-0.3450857044,-1.8098884007
2,2,10,3,116.3000000000,39.6000000000,4.4978379087,257.707129,0.8792553110,1.7473670143,-0.3720298395,-1.7073035118
2,2,10,4,116.2000000000,39.6000000000,4.3964780595,251.899638,0.9826826838,1.8352802812,-0.5701893612,-1.7444591721
3,2,11,1,116.3000060000,39.5000000000,4.5239890250,259.205478,0.9911652672,1.8424904771,-0.3450752571,-1.8098879040
3,2,11,2,116.4000060000,39.5000000000,4.6173484748,264.554580,0.9399859547,1.7989880615,-0.1707194542,-1.7908693178
3,2,11,3,116.4000060000,39.6000000000,4.6038710466,263.782380,0.8245841079,1.7008964917,-0.1842157171,-1.6908913168
3,2,11,4,116.3000060000,39.6000000000,4.4978441495,257.707487,0.8792524350,1.7473645698,-0.3720186640,-1.7073034450
4,2,12,1,116.4000000000,39.5000000000,4.6173428064,264.554255,0.9399869610,1.7989889169,-0.1707296869,-1.7908692015
4,2,12,2,116.5000000000,39.5000000000,4.7123889804,270.000000,1.0639105064,1.9043239304,-0.0000000000,-1.9043239304
4,2,12,3,116.5000000000,39.6000000000,4.7123889804,270.000000,0.9309218593,1.7912835804,-0.0000000000,-1.7912835804
4,2,12,4,116.4000000000,39.6000000000,4.6038645861,263.782010,0.8245851142,1.7008973471,-0.1842267337,-1.6908909769
5,3,3,1,115.5000000000,39.6000000000,3.8841725157,222.546692,1.0186120001,1.8658202001,-1.3745992478,-1.2616504774
5,3,3,2,115.6000000000,39.6000000000,3.9367997126,225.562008,0.9850160228,1.8372636194,-1.2863361268,-1.3118220061
5,3,3,3,115.6000000000,39.7000000000,3.8599271113,221.157533,0.9121052172,1.7752894346,-1.3366205973,-1.1683740649
