cell_id_a,cell_id_b,in_original,in_final,status
1,5,0,1,new
1,7,1,1,preserved
1,18,0,1,new
2,3,1,1,preserved
2,6,0,1,new
2,10,0,1,new
2,11,0,1,new
2,12,1,1,preserved
3,4,1,1,preserved
3,13,1,1,preserved
4,14,1,1,preserved
4,17,0,1,new
5,6,1,1,preserved
5,7,0,1,new
5,18,1,0,lost
6,7,1,1,preserved
6,8,0,1,new
6,9,0,1,new
6,19,1,0,lost
7,8,1,1,preserved
7,19,0,1,new
7,20,1,1,preserved
7,21,0,1,new
8,9,1,1,preserved
8,21,1,1,preserved
9,10,1,1,preserved
9,22,1,1,preserved
9,23,0,1,new
10,11,1,1,preserved
10,23,1,1,preserved
11,12,1,1,preserved
11,24,1,1,preserved
12,13,1,1,preserved
12,25,1,1,preserved
13,14,1,1,preserved
13,26,1,1,preserved
14,15,1,1,preserved
14,27,1,1,preserved
15,16,1,1,preserved
15,17,0,1,new
15,28,1,1,preserved
15,29,0,1,new
16,17,1,1,preserved
16,29,1,1,preserved
16,31,0,1,new
17,30,1,0,lost
18,19,1,1,preserved
18,32,1,1,preserved
19,20,1,1,preserved
19,33,1,1,preserved
19,34,0,1,new
20,21,1,1,preserved
20,34,1,1,preserved
20,35,0,1,new
21,22,1,1,preserved
21,35,1,1,preserved
21,36,0,1,new
22,23,1,1,preserved
22,36,1,1,preserved
22,52,0,1,new
23,24,1,1,preserved
23,37,1,1,preserved
24,25,1,1,preserved
24,38,1,1,preserved
25,26,1,1,preserved
25,39,1,1,preserved
26,27,1,1,preserved
26,40,1,1,preserved
27,28,1,1,preserved
27,41,1,1,preserved
28,29,1,1,preserved
28,42,1,1,preserved
28,43,0,1,new
29,30,1,1,preserved
29,43,1,1,preserved
30,31,1,1,preserved
30,44,1,1,preserved
30,73,0,1,new
31,45,1,1,preserved
32,33,1,1,preserved
32,47,1,1,preserved
33,34,1,1,preserved
33,48,1,1,preserved
33,49,0,1,new
34,35,1,1,preserved
34,49,1,1,preserved
35,36,1,1,preserved
35,50,1,1,preserved
35,67,0,1,new
36,37,1,0,lost
36,51,1,0,lost
36,52,0,1,new
36,53,0,1,new
37,38,1,1,preserved
37,51,0,1,new
37,52,1,1,preserved
37,54,0,1,new
38,39,1,1,preserved
38,53,1,0,lost
38,54,0,1,new
39,40,1,1,preserved
39,54,1,1,preserved
39,68,0,1,new
39,69,0,1,new
40,41,1,1,preserved
40,55,1,1,preserved
41,42,1,1,preserved
41,56,1,1,preserved
42,43,1,1,preserved
42,57,1,1,preserved
42,58,0,1,new
43,44,1,1,preserved
43,58,1,1,preserved
44,45,1,0,lost
44,58,0,1,new
44,59,1,1,preserved
44,71,0,1,new
44,72,0,1,new
45,73,0,1,new
45,74,0,1,new
46,47,1,1,preserved
46,60,0,1,new
46,61,0,1,new
47,48,1,1,preserved
47,60,1,0,lost
48,49,1,1,preserved
48,61,1,1,preserved
49,50,1,1,preserved
49,62,1,1,preserved
50,51,1,0,lost
50,62,0,1,new
50,63,1,1,preserved
50,64,0,1,new
50,65,0,1,new
51,52,1,1,preserved
51,53,0,1,new
51,54,0,1,new
51,64,1,0,lost
51,80,0,1,new
52,53,1,1,preserved
52,65,1,0,lost
53,54,1,0,lost
53,66,1,1,preserved
53,67,0,1,new
54,55,1,0,lost
54,67,1,0,lost
54,69,0,1,new
54,80,0,1,new
55,56,1,1,preserved
55,68,1,1,preserved
55,81,0,1,new
56,57,1,1,preserved
56,69,1,0,lost
56,82,0,1,new
57,58,1,1,preserved
57,70,1,1,preserved
57,82,0,1,new
58,59,1,0,lost
58,71,1,1,preserved
59,71,0,1,new
59,72,1,1,preserved
59,83,0,1,new
59,84,0,1,new
60,61,1,1,preserved
60,75,0,1,new
60,119,0,1,new
61,62,1,1,preserved
61,63,0,1,new
61,75,0,1,new
61,76,0,1,new
62,63,1,1,preserved
63,64,1,1,preserved
63,75,1,0,lost
63,76,0,1,new
64,65,1,1,preserved
64,76,1,1,preserved
64,77,0,1,new
65,66,1,0,lost
65,67,0,1,new
65,77,1,1,preserved
65,78,0,1,new
65,96,0,1,new
66,67,1,1,preserved
66,78,1,0,lost
66,79,0,1,new
66,80,0,1,new
67,68,1,0,lost
67,79,1,1,preserved
68,69,1,1,preserved
68,80,1,0,lost
68,81,0,1,new
69,70,1,0,lost
69,81,1,1,preserved
70,71,1,1,preserved
70,82,1,1,preserved
70,83,0,1,new
71,72,1,0,lost
71,83,1,1,preserved
72,73,1,1,preserved
72,84,1,1,preserved
72,85,0,1,new
73,74,1,1,preserved
73,85,1,1,preserved
73,88,0,1,new
74,86,1,0,lost
74,90,0,1,new
75,76,1,1,preserved
75,91,0,1,new
75,105,0,1,new
76,77,1,1,preserved
76,91,1,1,preserved
77,78,1,1,preserved
77,92,1,1,preserved
78,79,1,0,lost
78,93,1,1,preserved
78,95,0,1,new
79,80,1,0,lost
79,94,1,0,lost
79,96,0,1,new
80,81,1,1,preserved
80,95,1,0,lost
81,82,1,1,preserved
81,96,1,0,lost
82,83,1,1,preserved
82,97,1,1,preserved
83,84,1,1,preserved
83,97,0,1,new
83,98,1,1,preserved
83,99,0,1,new
84,85,1,1,preserved
84,99,1,1,preserved
84,101,0,1,new
85,86,1,1,preserved
85,100,1,0,lost
86,87,1,1,preserved
86,88,0,1,new
86,101,1,1,preserved
87,88,1,1,preserved
87,101,0,1,new
87,102,1,1,preserved
88,89,1,1,preserved
88,90,0,1,new
88,103,1,0,lost
88,104,0,1,new
89,90,1,1,preserved
89,104,1,1,preserved
89,118,0,1,new
91,92,1,1,preserved
91,105,1,0,lost
91,121,0,1,new
92,93,1,1,preserved
92,106,1,1,preserved
93,94,1,1,preserved
93,107,1,1,preserved
94,95,1,1,preserved
94,108,1,1,preserved
95,96,1,1,preserved
95,109,1,0,lost
96,97,1,0,lost
96,110,1,0,lost
97,98,1,1,preserved
97,111,1,0,lost
98,99,1,1,preserved
98,112,1,0,lost
98,113,0,1,new
99,100,1,1,preserved
99,101,0,1,new
99,113,1,1,preserved
99,114,0,1,new
100,101,1,1,preserved
100,114,1,1,preserved
100,115,0,1,new
100,116,0,1,new
101,102,1,1,preserved
101,115,1,0,lost
102,103,1,1,preserved
102,104,0,1,new
102,116,1,1,preserved
103,104,1,1,preserved
103,116,0,1,new
103,117,1,1,preserved
103,118,0,1,new
104,118,1,1,preserved
105,106,1,0,lost
105,119,0,1,new
105,120,1,1,preserved
105,121,0,1,new
106,107,1,1,preserved
106,121,1,1,preserved
106,122,0,1,new
107,108,1,1,preserved
107,122,1,1,preserved
107,123,0,1,new
108,109,1,0,lost
108,110,0,1,new
108,123,1,1,preserved
109,110,1,1,preserved
109,123,0,1,new
109,124,1,1,preserved
110,111,1,0,lost
110,123,0,1,new
110,125,1,0,lost
111,112,1,1,preserved
111,126,1,0,lost
111,128,0,1,new
111,129,0,1,new
112,113,1,1,preserved
112,127,1,0,lost
112,129,0,1,new
113,114,1,1,preserved
113,128,1,0,lost
114,115,1,1,preserved
114,129,1,1,preserved
115,116,1,1,preserved
115,130,1,1,preserved
115,131,0,1,new
116,117,1,1,preserved
116,131,1,1,preserved
117,118,1,1,preserved
117,132,1,1,preserved
118,133,1,1,preserved
119,120,1,1,preserved
119,134,1,1,preserved
120,121,1,1,preserved
120,134,0,1,new
120,135,1,1,preserved
120,136,0,1,new
121,122,1,1,preserved
121,136,1,1,preserved
121,137,0,1,new
122,123,1,1,preserved
122,137,1,1,preserved
122,138,0,1,new
123,124,1,1,preserved
123,138,1,1,preserved
123,139,0,1,new
124,125,1,1,preserved
124,139,1,1,preserved
125,126,1,0,lost
125,139,0,1,new
125,140,1,1,preserved
126,127,1,1,preserved
126,128,0,1,new
126,141,1,0,lost
126,142,0,1,new
127,128,1,0,lost
127,141,0,1,new
127,142,1,1,preserved
128,129,1,1,preserved
128,143,1,1,preserved
129,130,1,1,preserved
129,143,0,1,new
129,144,1,1,preserved
130,131,1,1,preserved
130,144,0,1,new
130,145,1,1,preserved
130,146,0,1,new
131,132,1,1,preserved
131,146,1,1,preserved
132,133,1,1,preserved
132,147,1,1,preserved
133,148,1,0,lost
133,161,0,1,new
134,135,1,1,preserved
135,136,1,1,preserved
135,149,0,1,new
136,137,1,1,preserved
136,150,0,1,new
