cell_id,row,col,center_x,center_y,vertex_count,signed_area,area
1,2,5,-1.1215625763,-1.4688580366,4,0.0000000000,0.0000000000
2,2,10,-0.3252314620,-1.6323338306,4,0.0659303200,0.0659303200
3,2,11,-0.1194337300,-1.5612243191,4,0.0844068096,0.0844068096
4,2,12,-0.0152139489,-1.6198249329,4,0.0604239708,0.0604239708
5,3,3,-1.2372152670,-1.1307770258,4,0.0615638160,0.0615638160
6,3,4,-1.0522899734,-1.1469855084,4,0.0761283816,0.0761283816
7,3,5,-0.9535022801,-1.2397174955,4,0.0740802960,0.0740802960
8,3,6,-0.8483871359,-1.3276508598,4,0.0759877837,0.0759877837
9,3,7,-0.7306401254,-1.4034565438,4,0.0766930386,0.0766930386
10,3,8,-0.6031615491,-1.4653840022,4,0.0777463049,0.0777463049
11,3,9,-0.4686275567,-1.5081162845,4,0.0785772599,0.0785772599
12,3,10,-0.2069514768,-1.3388653109,4,0.0800214917,0.0800214917
13,3,11,0.0694573126,-1.0520829851,4,0.0735126072,0.0735126072
14,3,12,0.1588998267,-1.3212910536,4,0.0800004908,0.0800004908
15,3,13,0.1905172631,-1.6092484191,4,0.0813377880,0.0813377880
16,3,14,0.3698806724,-1.5864795258,4,0.0825804430,0.0825804430
17,3,15,0.5301119835,-1.6048700081,4,0.0657801595,0.0657801595
18,4,3,-1.2830897975,-0.9817987771,4,0.0778011186,0.0778011186
19,4,4,-0.9246620134,-0.8283240203,4,0.0715846547,0.0715846547
20,4,5,-0.6881982932,-0.8262969499,4,0.0770422712,0.0770422712
21,4,6,-0.5489534318,-0.8990528308,4,0.0760033618,0.0760033618
22,4,7,-0.4198297255,-0.9345414953,4,0.0768816475,0.0768816475
23,4,8,-0.2939209842,-0.9520976234,4,0.0774317248,0.0774317248
24,4,9,-0.1586240207,-0.8999976632,4,0.0781664647,0.0781664647
25,4,10,0.0179028856,-0.7168603601,4,0.0768534695,0.0768534695
26,4,11,0.2037947974,-0.7079972267,4,0.0802974182,0.0802974182
27,4,12,0.3462442636,-0.8698022897,4,0.0784782970,0.0784782970
28,4,13,0.4211900685,-1.0624315629,4,0.0789001285,0.0789001285
29,4,14,0.5588778344,-1.1449032210,4,0.0760448246,0.0760448246
30,4,15,0.5524072965,-1.1264048815,4,-0.0650433709,0.0650433709
31,4,16,0.6685848180,-1.3895087703,4,0.1552879638,0.1552879638
32,5,3,-1.4216201968,-0.8406168470,4,0.0743094615,0.0743094615
33,5,4,-1.0537478985,-0.6822696164,4,0.0766305722,0.0766305722
34,5,5,-0.7052536762,-0.4877772064,4,0.0735213731,0.0735213731
35,5,6,-0.5511615903,-0.3905156782,4,0.0776327649,0.0776327649
36,5,7,-0.3759321593,-0.3862075419,4,0.0784822479,0.0784822479
37,5,8,-0.2083286648,-0.3638480937,4,0.0793016261,0.0793016261
38,5,9,-0.0319595679,-0.3129202361,4,0.0793627573,0.0793627573
39,5,10,0.1654358746,-0.3144819041,4,0.0819483739,0.0819483739
40,5,11,0.3735062487,-0.3192299127,4,0.0804868969,0.0804868969
41,5,12,0.5421694052,-0.4465076495,4,0.0816649085,0.0816649085
42,5,13,0.6530490121,-0.6520112988,4,0.0792984504,0.0792984504
43,5,14,0.7512218664,-0.9468397816,4,0.0802182502,0.0802182502
44,5,15,0.7335497601,-1.2405876304,4,0.0830467487,0.0830467487
45,5,16,0.7503323830,-1.3435397078,4,-0.0237633412,0.0237633412
46,6,2,-1.5605257639,-1.0423072662,4,0.0000567640,0.0000567640
47,6,3,-1.4639017903,-0.6642057139,4,0.0777778072,0.0777778072
48,6,4,-1.0380249740,-0.4699412573,4,0.0715661893,0.0715661893
49,6,5,-0.9184328008,-0.2588170118,4,0.0771139698,0.0771139698
50,6,6,-0.8709671540,-0.0813636950,4,0.0774774379,0.0774774379
51,6,7,-0.5700120251,-0.0410421600,4,0.0792445243,0.0792445243
52,6,8,-0.2862884253,0.0016558403,4,0.0805536373,0.0805536373
53,6,9,-0.0037019810,0.0430081683,4,0.0823856380,0.0823856380
54,6,10,0.2383107862,0.0886406054,4,0.0822040183,0.0822040183
55,6,11,0.4578701023,0.0414196424,4,0.0835082922,0.0835082922
56,6,12,0.6711131058,-0.1245913890,4,0.0824803403,0.0824803403
