node,node_type,is_boundary,x,y,r,theta_rad
"('h', 'E')",h,1,1.0000000000,0.0000000000,1.0000000000,0.0000000000
"('h', 'N')",h,1,0.0000000000,1.0000000000,1.0000000000,1.5707963268
"('h', 'S')",h,1,-0.0000000000,-1.0000000000,1.0000000000,4.7123889804
"('h', 'W')",h,1,-1.0000000000,0.0000000000,1.0000000000,3.1415926536
"('v', 2, 5)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 2, 6)",v,1,-1.0269070274,-1.5388183639,1.8500000000,4.1239239736
"('v', 2, 10)",v,1,-0.5087049356,-1.7786847074,1.8500000000,4.4338246139
"('v', 2, 11)",v,1,-0.3464921492,-1.8172625541,1.8500000000,4.5239832729
"('v', 2, 12)",v,1,-0.1755605792,-1.8416510210,1.8500000000,4.6173483554
"('v', 2, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 3)",v,1,-1.3629449861,-1.2509520234,1.8500000000,3.8841717967
"('v', 3, 4)",v,1,-1.2952542905,-1.3209149567,1.8500000000,3.9367989911
"('v', 3, 5)",v,1,-1.2155623023,-1.3945996878,1.8500000000,3.9954759878
"('v', 3, 6)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 3, 7)",v,1,-1.0122627285,-1.5484909326,1.8500000000,4.1334106739
"('v', 3, 8)",v,1,-0.8850105728,-1.6245788027,1.8500000000,4.2135753167
"('v', 3, 9)",v,1,-0.7391090921,-1.6959415526,1.8500000000,4.3013975120
"('v', 3, 10)",v,1,-0.5747632689,-1.7584502224,1.8500000000,4.3964776332
"('v', 3, 11)",v,0,-0.0518964843,-1.3187287132,1.3197494702,4.6730558574
"('v', 3, 12)",v,0,0.1299187326,-1.1678237776,1.1750281923,4.8231819883
"('v', 3, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 14)",v,1,0.2003765507,-1.8391164286,1.8500000000,4.8209135300
"('v', 3, 15)",v,1,0.3938705687,-1.8075856757,1.8500000000,4.9269341115
"('v', 3, 16)",v,1,0.5747632689,-1.7584502224,1.8500000000,5.0283003275
"('v', 4, 3)",v,1,-1.4539842160,-1.1438662071,1.8500000000,3.8081782105
"('v', 4, 4)",v,0,-0.9595261944,-0.9252236561,1.3329401080,3.9087927778
"('v', 4, 5)",v,0,-0.7980077019,-1.0040109540,1.2825187282,4.0408147392
"('v', 4, 6)",v,0,-0.7042317022,-1.1147799364,1.3185888658,4.1489700209
"('v', 4, 7)",v,0,-0.5687368633,-1.1855382648,1.3149002232,4.2650894350
"('v', 4, 8)",v,0,-0.4398998629,-1.2389349363,1.3147135299,4.3712108992
"('v', 4, 9)",v,0,-0.2983376035,-1.2481839335,1.2833426890,4.4777733482
"('v', 4, 10)",v,0,-0.1602455104,-1.1959154364,1.2066036443,4.5791883634
"('v', 4, 11)",v,0,-0.0232329233,-0.9065022374,0.9067999091,4.6867653940
"('v', 4, 12)",v,0,0.2436536665,-0.8630262044,0.8967615841,4.9875521295
"('v', 4, 13)",v,0,0.2651541946,-1.2766960334,1.3039399943,4.9171656122
"('v', 4, 14)",v,0,0.3402806852,-1.4068653050,1.4474325308,4.9497028233
"('v', 4, 15)",v,0,0.5369367479,-1.2738164672,1.3823564892,5.1113067685
"('v', 4, 16)",v,1,0.6591676279,-1.7285826675,1.8500000000,5.0767012939
"('v', 4, 17)",v,1,0.8384783153,-1.6490767462,1.8500000000,5.1827762422
"('v', 5, 3)",v,1,-1.5471547517,-1.0143037880,1.8500000000,3.7218896247
"('v', 5, 4)",v,0,-1.2104277434,-0.8421479232,1.4745672065,3.7494565737
"('v', 5, 5)",v,0,-0.7737881164,-0.6509761177,1.0111962989,3.8410052375
"('v', 5, 6)",v,0,-0.5226085298,-0.6251335352,0.8148077149,4.0160819204
"('v', 5, 7)",v,0,-0.3937564702,-0.6381734068,0.7498729592,4.1595592214
"('v', 5, 8)",v,0,-0.2713936008,-0.6465857363,0.7012329149,4.3149876718
"('v', 5, 9)",v,0,-0.1547751181,-0.6203526522,0.6393690251,4.4678853140
"('v', 5, 10)",v,0,-0.0196997978,-0.5095491672,0.5099298342,4.6737469949
"('v', 5, 11)",v,0,0.2332620397,-0.4891499738,0.5419214667,5.1573637811
"('v', 5, 12)",v,0,0.3963471859,-0.5481553857,0.6764358201,5.3384219374
"('v', 5, 13)",v,0,0.4845801790,-0.7214930072,0.8691203077,5.3038235297
"('v', 5, 14)",v,0,0.5780514570,-0.8841038128,1.0563063186,5.2914502388
"('v', 5, 15)",v,0,0.7563340033,-1.1623884749,1.3867905722,5.2892366870
"('v', 5, 16)",v,0,0.3792089201,-0.8541017096,0.9344994036,5.1302301448
"('v', 5, 17)",v,1,0.9635700466,-1.5792506974,1.8500000000,5.2602338018
"('v', 6, 2)",v,1,-1.6698999720,-0.7961997762,1.8500000000,3.5865044415
"('v', 6, 3)",v,1,-1.6383421630,-0.8592641952,1.8500000000,3.6246254610
"('v', 6, 4)",v,0,-1.3058274695,-0.6573409482,1.4619447671,3.6079488635
"('v', 6, 5)",v,0,-0.8470886567,-0.5497377188,1.0098369927,3.7172456102
"('v', 6, 6)",v,0,-0.7397363947,-0.2057242307,0.7678101281,3.4128430606
"('v', 6, 7)",v,0,-0.5187041417,-0.1812433861,0.5494571427,3.4777468700
"('v', 6, 8)",v,0,-0.3075791824,-0.1656397507,0.3493443580,3.6355849109
"('v', 6, 9)",v,0,-0.1015547180,-0.1140388994,0.1527030822,3.9848323058
"('v', 6, 10)",v,0,0.1423665889,-0.1169874505,0.1842669510,5.5953317728
"('v', 6, 11)",v,0,0.3191477754,-0.0937926078,0.3326444887,5.9973483960
"('v', 6, 12)",v,0,0.5356725695,-0.1838405785,0.5663412929,5.9525849447
"('v', 6, 13)",v,0,0.7166565519,-0.3742490284,0.8084917741,5.8019238019
"('v', 6, 14)",v,0,0.8072565640,-0.6787730926,1.0547018875,5.5840335658
"('v', 6, 15)",v,0,0.8773697228,-1.1920534273,1.4801246582,5.3468797274
"('v', 6, 16)",v,1,0.9185536732,-1.6058515341,1.8500000000,5.2319688526
"('v', 6, 17)",v,1,1.1219046739,-1.4709962280,1.8500000000,5.3639582861
"('v', 7, 2)",v,1,-1.7419722783,-0.6229226128,1.8500000000,3.4850185683
"('v', 7, 3)",v,1,-1.7215979405,-0.6772005104,1.8500000000,3.5163581697
"('v', 7, 4)",v,0,-1.0932152701,-0.4590876376,1.1856985644,3.5391718315
"('v', 7, 5)",v,0,-1.0540204048,-0.1685435520,1.0674108594,3.3001556735
"('v', 7, 6)",v,0,-1.2661874442,-0.0094292349,1.2662225532,3.1490394662
"('v', 7, 7)",v,0,-0.8783510248,0.0334394137,0.8789873248,3.1035403586
"('v', 7, 8)",v,0,-0.5266641206,0.0992079303,0.5359265895,2.9554039986
"('v', 7, 9)",v,0,-0.1774365028,0.1480554064,0.2310933056,2.4462172635
"('v', 7, 10)",v,0,0.1030853640,0.2315890414,0.2534957127,1.1520063936
"('v', 7, 11)",v,0,0.3849762226,0.2785802621,0.4751985421,0.6264094754
"('v', 7, 12)",v,0,0.5969114053,0.1621717471,0.6185490291,0.2652814775
"('v', 7, 13)",v,0,0.8342010717,-0.1435567749,0.8464632158,6.1127655919
"('v', 7, 14)",v,0,1.0217709313,-0.5049172218,1.1397180515,5.8242214698
