cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
1,2,5,5,5,0,9,8,1.8375882179,232.668419,244.718403,12.049984,238.409159,251.027647,12.618488,1.7083333333,1.8500000000,1,1,0,2
2,2,10,5,5,0,10,9,1.8295374845,255.736287,258.208058,2.471771,251.027647,265.388470,14.360823,1.7083333333,1.8500000000,2,2,0,3
3,2,11,4,4,0,10,11,1.7580710311,261.327667,265.658466,4.330799,264.908466,266.408466,1.500000,1.5666666667,1.7083333333,3,3,0,2
4,2,12,4,5,1,11,10,1.7664921535,267.089332,267.210205,0.120873,265.388470,269.031940,3.643471,1.7083333333,1.8500000000,2,2,0,3
5,3,3,5,5,0,6,5,1.8247061133,221.896189,221.960659,0.064471,220.471678,223.449641,2.977963,1.7083333333,1.8500000000,2,2,0,1
6,3,4,5,5,0,7,6,1.7838767965,225.076276,224.620156,0.456120,223.449641,225.790671,2.341030,1.7083333333,1.8500000000,3,3,0,0
7,3,5,5,5,0,8,7,1.7850564820,228.652205,232.099915,3.447710,225.790671,238.409159,12.618488,1.7083333333,1.8500000000,4,4,0,0
8,3,6,4,4,0,5,7,1.7259056308,232.668679,235.663473,2.994794,233.385279,237.941668,4.556388,1.5666666667,1.7083333333,3,3,0,1
9,3,7,4,4,0,6,8,1.7452164029,237.164482,244.295046,7.130564,237.941668,250.648425,12.706757,1.5666666667,1.7083333333,3,2,1,2
10,3,8,4,4,0,7,9,1.7644449470,242.165931,252.604858,10.438927,250.648425,254.561291,3.912866,1.5666666667,1.7083333333,3,2,1,3
11,3,9,4,4,0,8,12,1.7646658767,247.673320,267.158466,19.485145,266.408466,267.908466,1.500000,1.5666666667,1.7083333333,3,0,3,4
12,3,10,4,4,0,9,10,1.7639016464,253.651819,259.734878,6.083059,254.561291,264.908466,10.347175,1.5666666667,1.7083333333,4,3,1,2
13,3,11,3,3,0,11,10,1.6762398534,260.018556,266.965832,6.947276,264.307985,269.623678,5.315693,1.4250000000,1.5666666667,4,3,1,4
14,3,12,3,4,1,12,13,1.6494547773,266.642494,268.825845,2.183351,267.908466,269.743224,1.834758,1.5666666667,1.7083333333,4,3,1,2
15,3,13,5,5,0,11,11,1.7946159192,273.357506,272.957502,0.400004,269.031940,276.883063,7.851123,1.7083333333,1.8500000000,3,3,0,1
16,3,14,5,5,0,12,12,1.7909496294,279.981444,285.571967,5.590523,276.883063,294.260870,17.377807,1.7083333333,1.8500000000,3,2,1,1
17,3,15,5,5,0,13,13,1.8026506451,286.348181,295.830268,9.482087,294.260870,297.399667,3.138796,1.7083333333,1.8500000000,2,2,0,1
18,4,3,5,5,0,5,4,1.8008937424,217.202462,219.721678,2.519216,218.971678,220.471678,1.500000,1.7083333333,1.8500000000,3,3,0,0
19,4,4,4,4,0,4,5,1.7164244502,220.311607,222.328061,2.016454,219.066729,225.589392,6.522663,1.5666666667,1.7083333333,4,4,0,2
20,4,5,3,4,1,5,6,1.6770950678,223.876687,229.487336,5.610649,225.589392,233.385279,7.795887,1.5666666667,1.7083333333,4,4,0,2
21,4,6,3,3,0,6,6,1.6720853620,227.970862,235.594136,7.623274,232.727009,238.461263,5.734254,1.4250000000,1.5666666667,4,4,0,1
22,4,7,3,3,0,7,5,1.6142314704,232.668432,230.056082,2.612350,227.385156,232.727009,5.341853,1.4250000000,1.5666666667,4,1,3,3
23,4,8,3,3,0,8,8,1.6355803053,238.035828,252.097058,14.061230,250.925361,253.268754,2.343392,1.4250000000,1.5666666667,4,3,1,1
24,4,9,3,3,0,9,7,1.6465270294,244.110762,244.693312,0.582551,238.461263,250.925361,12.464098,1.4250000000,1.5666666667,4,1,3,4
25,4,10,3,3,0,10,9,1.6541017798,250.880268,258.788369,7.908102,253.268754,264.307985,11.039232,1.4250000000,1.5666666667,4,2,2,3
26,4,11,2,2,0,10,14,1.5843045308,258.250469,288.851146,30.600677,284.371363,293.330930,8.959566,1.2833333333,1.4250000000,4,1,3,3
27,4,12,2,3,1,11,12,1.5466323036,266.033838,283.219000,17.185162,272.636388,293.801613,21.165226,1.4250000000,1.5666666667,4,3,1,2
