row,col,anchor,lon,lat,theta_rad,theta_deg,rho_unclipped,R,X_top_left,Y_top_left,fixed_cell_side
2,5,top_left,115.699997,39.600000,3.9825859212,228.185365,0.9871098897,1.8390434062,-1.2261322920,-1.3706495733,0.1684189021
2,10,top_left,116.199997,39.600000,4.4129337122,252.842477,0.9814704046,1.8342498439,-0.5411032649,-1.7526208223,0.1684189021
2,11,top_left,116.300003,39.600000,4.5231143175,259.155361,0.8699028081,1.7394173868,-0.3272653998,-1.7083530676,0.1684189021
2,12,top_left,116.400003,39.600000,4.6381227294,265.744857,0.8129498879,1.6910074048,-0.1254693689,-1.6863461923,0.1684189021
3,3,top_left,115.500000,39.700000,3.7849911890,216.864021,0.9979150354,1.8482277801,-1.4786959637,-1.1087849990,0.1684189021
3,4,top_left,115.599997,39.700000,3.8382989352,219.918329,0.9060921366,1.7701783161,-1.3576557955,-1.1359146145,0.1684189021
3,5,top_left,115.699997,39.700000,3.8993838693,223.418238,0.8512663145,1.7235763673,-1.2519298984,-1.1846463707,0.1684189021
3,6,top_left,115.800003,39.700000,3.9695142456,227.436413,0.8517736951,1.7240076408,-1.1661326014,-1.2697783672,0.1684189021
3,7,top_left,115.900003,39.700000,4.0499864128,232.047129,0.7767744212,1.6602582580,-1.0210805620,-1.3091416918,0.1684189021
3,8,top_left,116.000000,39.700000,4.1419748952,237.317680,0.8432184225,1.7167356592,-0.9270039877,-1.4449376908,0.1684189021
3,9,top_left,116.099997,39.700000,4.2462293431,243.291020,0.8177213052,1.6950631094,-0.7618613845,-1.5142014977,0.1684189021
3,10,top_left,116.199997,39.700000,4.3626515970,249.961524,0.8229939445,1.6995448528,-0.5823509146,-1.5966590491,0.1684189021
3,11,top_left,116.300003,39.700000,4.4898284560,257.248221,0.7497119577,1.6372551640,-0.3613875898,-1.5968730325,0.1684189021
3,12,top_left,116.400003,39.700000,4.6247178372,264.976814,0.6898938180,1.5864097453,-0.1389042545,-1.5803168948,0.1684189021
3,13,top_left,116.500000,39.700000,4.7628585532,272.891694,0.7910340439,1.6723789373,0.0843684230,-1.6702494661,0.1684189021
3,14,top_left,116.599997,39.700000,4.8991096948,280.698309,0.8487062693,1.7214003289,0.3195566481,-1.6914794237,0.1684189021
3,15,top_left,116.699997,39.700000,5.0287308759,288.125055,0.8622330513,1.7328980936,0.5390908400,-1.6469113118,0.1684189021
4,4,top_left,115.599997,39.800001,3.7421376156,214.408692,0.8811910651,1.7490124054,-1.4429838284,-0.9883532087,0.1684189021
4,5,top_left,115.699997,39.800001,3.8006816737,217.763019,0.7841611095,1.6665369430,-1.3174815148,-1.0205821088,0.1684189021
4,6,top_left,115.800003,39.800001,3.8696383616,221.713946,0.7013927041,1.5961837985,-1.1915132747,-1.0621199719,0.1684189021
4,7,top_left,115.900003,39.800001,3.9511830940,226.386115,0.6973437282,1.5927421689,-1.0986656065,-1.1531528527,0.1684189021
4,8,top_left,116.000000,39.800001,4.0476798785,231.914974,0.6381858184,1.5424579456,-0.9514346339,-1.2140628697,0.1684189021
4,9,top_left,116.099997,39.800001,4.1612981282,238.424820,0.6783179310,1.5765702414,-0.8255188161,-1.3431650718,0.1684189021
4,10,top_left,116.199997,39.800001,4.2932577346,245.985549,0.6689872966,1.5686392021,-0.6383844677,-1.4328622466,0.1684189021
4,11,top_left,116.300003,39.800001,4.4426802131,254.546826,0.6705444346,1.5699627694,-0.4183177476,-1.5132063175,0.1684189021
4,12,top_left,116.400003,39.800001,4.6054302859,263.871718,0.5668365174,1.4818110398,-0.1581905503,-1.4733430379,0.1684189021
4,13,top_left,116.500000,39.800001,4.7740135136,273.530826,0.6703479582,1.5697957645,0.0966767145,-1.5668159927,0.1684189021
4,14,top_left,116.599997,39.800001,4.9391921330,282.994863,0.6945476816,1.5903655294,0.3576154789,-1.5496366304,0.1684189021
4,15,top_left,116.699997,39.800001,5.0927659900,291.793997,0.6996822249,1.5947298912,0.5920762574,-1.4807461401,0.1684189021
4,16,top_left,116.800003,39.800001,5.2296542603,299.637117,0.7921662510,1.6733413134,0.8274757136,-1.4544260361,0.1684189021
5,4,top_left,115.599997,39.900001,3.6314479549,208.066641,0.9120053373,1.7752045367,-1.5664421666,-0.8352305585,0.1684189021
5,5,top_left,115.699997,39.900001,3.6842430225,211.091576,0.8302922015,1.7057483713,-1.4607057124,-0.8808611286,0.1684189021
5,6,top_left,115.800003,39.900001,3.7482335146,214.757961,0.6784902786,1.5767167368,-1.2953795923,-0.8989034319,0.1684189021
5,7,top_left,115.900003,39.900001,3.8266596259,219.251446,0.5812518165,1.4940640440,-1.1569683449,-0.9453314851,0.1684189021
5,8,top_left,116.000000,39.900001,3.9236561438,224.808937,0.5338520747,1.4537742635,-1.0313958743,-1.0245399746,0.1684189021
5,9,top_left,116.099997,39.900001,4.0440786971,231.708641,0.4969325787,1.4223926919,-0.8814008007,-1.1163931200,0.1684189021
5,10,top_left,116.199997,39.900001,4.1925734554,240.216764,0.5134160824,1.4364036701,-0.7134904862,-1.2466702970,0.1684189021
5,11,top_left,116.300003,39.900001,4.3711662312,250.449377,0.5253390579,1.4465381993,-0.4840689572,-1.3631397605,0.1684189021
5,12,top_left,116.400003,39.900001,4.5753311054,262.147162,0.4498240739,1.3823504628,-0.1888694043,-1.3693871440,0.1684189021
5,13,top_left,116.500000,39.900001,4.7914851743,274.531878,0.5382557392,1.4575173784,0.1151639079,-1.4529604890,0.1684189021
5,14,top_left,116.599997,39.900001,5.0005817564,286.512230,0.5339170260,1.4538294721,0.4132074093,-1.3938722219,0.1684189021
5,15,top_left,116.699997,39.900001,5.1868860512,297.186680,0.6039530560,1.5133600976,0.6914408174,-1.3461680360,0.1684189021
6,3,top_left,115.500000,40.000000,3.4710139547,198.874450,0.9397886674,1.7988203672,-1.7020972716,-0.5819102950,0.1684189021
6,4,top_left,115.599997,40.000000,3.5060226556,200.880301,0.8337577958,1.7086941264,-1.5964791763,-0.6090072719,0.1684189021
6,5,top_left,115.699997,40.000000,3.5488982673,203.336893,0.7822494274,1.6649120133,-1.5287080588,-0.6595329277,0.1684189021
6,6,top_left,115.800003,40.000000,3.6024032775,206.402504,0.7048507361,1.5991231256,-1.4323223155,-0.7110889927,0.1684189021
6,7,top_left,115.900003,40.000000,3.6705826108,210.308892,0.6038973730,1.5133127671,-1.3064690023,-0.7637108596,0.1684189021
6,8,top_left,116.000000,40.000000,3.7594468387,215.400437,0.4757975368,1.4044279063,-1.1447820161,-0.8135673787,0.1684189021
6,9,top_left,116.099997,40.000000,3.8778075772,222.182008,0.3967274705,1.3372183499,-0.9908995161,-0.8979259794,0.1684189021
6,10,top_left,116.199997,40.000000,4.0376712017,231.341519,0.3553039384,1.3020083476,-0.8133346160,-1.0167165483,0.1684189021
6,11,top_left,116.300003,40.000000,4.2516549855,243.601887,0.3727995047,1.3168795790,-0.5854921476,-1.1795638053,0.1684189021
6,12,top_left,116.400003,40.000000,4.5219426246,259.088228,0.3359393189,1.2855484210,-0.2433507158,-1.2623054987,0.1684189021
6,13,top_left,116.500000,40.000000,4.8227276890,276.321942,0.3893701212,1.3309646030,0.1465591088,-1.3228708184,0.1684189021
6,14,top_left,116.599997,40.000000,5.1052131315,292.507166,0.3942784663,1.3351366963,0.5110889635,-1.2334415549,0.1684189021
6,15,top_left,116.699997,40.000000,5.3350544292,305.676102,0.7349561409,1.6247127197,0.9475364310,-1.3197977624,0.1684189021
7,4,top_left,115.599997,40.100000,3.3674085183,192.938296,0.9637914580,1.8192227393,-1.7730358723,-0.4073268600,0.1684189021
7,5,top_left,115.699997,40.100000,3.3957952722,194.564737,0.8121377784,1.6903171117,-1.6359972903,-0.4250703520,0.1684189021
7,6,top_left,115.800003,40.100000,3.4321180613,196.645880,0.6555177485,1.5571900862,-1.4919337026,-0.4460659050,0.1684189021
7,7,top_left,115.900003,40.100000,3.4800866811,199.394279,0.5479519781,1.4657591814,-1.3825858766,-0.4867301836,0.1684189021
7,8,top_left,116.000000,40.100000,3.5459959725,203.170603,0.4738493524,1.4027719496,-1.2896206287,-0.5519490707,0.1684189021
7,9,top_left,116.099997,40.100000,3.6411510617,208.622588,0.3831615252,1.3256872965,-1.1636806023,-0.6350545361,0.1684189021
7,10,top_left,116.199997,40.100000,3.7869025314,216.973532,0.2731044875,1.2321388144,-0.9843722471,-0.7410650019,0.1684189021
7,11,top_left,116.300003,40.100000,4.0230643223,230.504606,0.2190308795,1.1861762475,-0.7544272886,-0.9153434090,0.1684189021
7,12,top_left,116.400003,40.100000,4.4025845145,252.249512,0.2276861830,1.1935332556,-0.3638753683,-1.1367129578,0.1684189021
7,13,top_left,116.500000,40.100000,4.8943172997,280.423725,0.2333992213,1.1983893381,0.2168202737,-1.1786118847,0.1684189021
7,14,top_left,116.599997,40.100000,5.3150406960,304.529400,0.4226716328,1.3592708879,0.7704742138,-1.1198155350,0.1684189021
