edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
1,1,7,0,6,2,5,3,5,5,5,0,1.8375882180,1.7850564821,232.668419,228.652205,4.016214,0.0525317359,same_layer
2,2,3,1,2,2,10,2,11,5,4,1,1.8295374845,1.7580710311,255.736287,261.327667,5.591380,0.0714664534,adjacent_layer
3,2,12,1,11,2,10,3,10,5,4,1,1.8295374845,1.7639016465,255.736287,253.651819,2.084468,0.0656358380,adjacent_layer
4,3,4,2,3,2,11,2,12,4,4,0,1.7580710311,1.7664921536,261.327667,267.089332,5.761665,0.0084211225,same_layer
5,3,13,2,12,2,11,3,11,4,3,1,1.7580710311,1.6762398533,261.327667,260.018556,1.309111,0.0818311778,adjacent_layer
6,4,14,3,13,2,12,3,12,4,3,1,1.7664921536,1.6494547773,267.089332,266.642494,0.446838,0.1170373763,adjacent_layer
7,5,6,4,5,3,3,3,4,5,5,0,1.8247061133,1.7838767964,221.896189,225.076276,3.180087,0.0408293168,same_layer
8,5,18,4,17,3,3,4,3,5,5,0,1.8247061133,1.8008937424,221.896189,217.202462,4.693727,0.0238123709,same_layer
9,6,7,5,6,3,4,3,5,5,5,0,1.7838767964,1.7850564821,225.076276,228.652205,3.575929,0.0011796856,same_layer
10,6,19,5,18,3,4,4,4,5,4,1,1.7838767964,1.7164244501,225.076276,220.311607,4.764669,0.0674523463,adjacent_layer
11,7,8,6,7,3,5,3,6,5,4,1,1.7850564821,1.7259056308,228.652205,232.668679,4.016474,0.0591508513,adjacent_layer
12,7,20,6,19,3,5,4,5,5,3,2,1.7850564821,1.6770950678,228.652205,223.876687,4.775518,0.1079614143,long_layer_conflict
13,8,9,7,8,3,6,3,7,4,4,0,1.7259056308,1.7452164030,232.668679,237.164482,4.495803,0.0193107722,same_layer
14,8,21,7,20,3,6,4,6,4,3,1,1.7259056308,1.6720853620,232.668679,227.970862,4.697817,0.0538202688,adjacent_layer
15,9,10,8,9,3,7,3,8,4,4,0,1.7452164030,1.7644449471,237.164482,242.165931,5.001449,0.0192285441,same_layer
16,9,22,8,21,3,7,4,7,4,3,1,1.7452164030,1.6142314704,237.164482,232.668432,4.496050,0.1309849326,adjacent_layer
17,10,11,9,10,3,8,3,9,4,4,0,1.7644449471,1.7646658767,242.165931,247.673320,5.507389,0.0002209296,same_layer
18,10,23,9,22,3,8,4,8,4,3,1,1.7644449471,1.6355803053,242.165931,238.035828,4.130103,0.1288646417,adjacent_layer
19,11,12,10,11,3,9,3,10,4,4,0,1.7646658767,1.7639016465,247.673320,253.651819,5.978498,0.0007642302,same_layer
20,11,24,10,23,3,9,4,9,4,3,1,1.7646658767,1.6465270294,247.673320,244.110762,3.562559,0.1181388473,adjacent_layer
21,12,13,11,12,3,10,3,11,4,3,1,1.7639016465,1.6762398533,253.651819,260.018556,6.366737,0.0876617931,adjacent_layer
22,12,25,11,24,3,10,4,10,4,3,1,1.7639016465,1.6541017798,253.651819,250.880268,2.771551,0.1097998666,adjacent_layer
23,13,14,12,13,3,11,3,12,3,3,0,1.6762398533,1.6494547773,260.018556,266.642494,6.623938,0.0267850760,same_layer
24,13,26,12,25,3,11,4,11,3,2,1,1.6762398533,1.5843045308,260.018556,258.250469,1.768086,0.0919353225,adjacent_layer
25,14,15,13,14,3,12,3,13,3,5,2,1.6494547773,1.7946159192,266.642494,273.357506,6.715012,0.1451611419,long_layer_conflict
26,14,27,13,26,3,12,4,12,3,2,1,1.6494547773,1.5466323036,266.642494,266.033838,0.608656,0.1028224737,adjacent_layer
27,15,16,14,15,3,13,3,14,5,5,0,1.7946159192,1.7909496294,273.357506,279.981444,6.623938,0.0036662898,same_layer
28,15,28,14,27,3,13,4,13,5,3,2,1.7946159192,1.6749196021,273.357506,273.966162,0.608656,0.1196963172,long_layer_conflict
29,16,17,15,16,3,14,3,15,5,5,0,1.7909496294,1.8026506451,279.981444,286.348181,6.366737,0.0117010157,same_layer
30,16,29,15,28,3,14,4,14,5,3,2,1.7909496294,1.6690883915,279.981444,281.749531,1.768086,0.1218612379,long_layer_conflict
