cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
94,1,1,1.2841100853,194.6944971809,180.0000000012,199.1520344134,1.0000000000,1.3500994502
95,1,2,1.1202716327,203.6095716459,199.1520344134,206.4712759821,1.0000000000,1.3500994502
78,1,3,1.3033563548,209.3329803182,206.4712759821,213.7628527219,1.0000000000,1.3500994502
79,1,4,1.2120767463,218.1927251256,213.7628527219,220.6580520628,1.0000000000,1.3500994502
66,1,5,1.3023171367,223.1233790000,220.6580520628,227.3962057355,1.0000000000,1.3500994502
67,1,6,1.2791963490,232.6684921957,227.3962057355,232.1690324710,1.0000000000,1.3500994502
96,1,7,1.0558396014,232.6689342290,232.1690324710,233.1690324710,1.0000000000,1.3500994502
80,1,8,1.1675137619,232.6696709883,233.1690324710,239.5405534896,1.0000000000,1.3500994502
68,1,9,1.2937845136,245.4120745081,239.5405534896,250.5742172982,1.0000000000,1.3500994502
81,1,10,1.1659077037,255.7363600883,250.5742172982,258.5318539299,1.0000000000,1.3500994502
69,1,11,1.2526928138,261.3273477715,258.5318539299,270.0000000022,1.0000000000,1.3500994502
70,1,12,1.3042710861,278.6726522330,270.0000000022,281.4681460722,1.0000000000,1.3500994502
82,1,13,1.1844861877,284.2636399114,281.4681460722,289.4257827015,1.0000000000,1.3500994502
71,1,14,1.3407899590,294.5879254917,289.4257827015,300.9594956298,1.0000000000,1.3500994502
97,1,15,1.1525884513,307.3310657680,300.9594956298,321.8607470604,1.0000000000,1.3500994502
98,1,16,1.1880428789,336.3904283528,321.8607470604,340.8479655875,1.0000000000,1.3500994502
99,1,17,1.2597438261,345.3055028222,340.8479655875,0.0000000018,1.0000000000,1.3500994502
113,1,18,1.2813141120,14.6944971813,0.0000000018,19.1520344127,1.0000000000,1.3500994502
112,1,19,1.1396137546,23.6095716441,19.1520344127,26.4711128505,1.0000000000,1.3500994502
129,1,20,1.3324059748,29.3326540570,26.4711128505,33.7625039719,1.0000000000,1.3500994502
128,1,21,1.3207311446,38.1923538868,33.7625039719,45.1807361576,1.0000000000,1.3500994502
111,1,22,1.0972007262,52.6689342317,45.1807361576,52.6691184283,1.0000000000,1.3500994502
127,1,23,1.2915924626,52.6693026249,52.6691184283,64.4526480481,1.0000000000,1.3500994502
126,1,24,1.2032737451,75.7361776679,64.4526480481,78.5317285541,1.0000000000,1.3500994502
141,1,25,1.2803597628,81.3272794403,78.5317285541,89.9999999996,1.0000000000,1.3500994502
140,1,26,1.3307738213,98.6727205590,89.9999999996,101.4682714462,1.0000000000,1.3500994502
125,1,27,1.2706587357,104.2638223334,101.4682714462,115.7974440520,1.0000000000,1.3500994502
110,1,28,1.1160280282,127.3310657706,115.7974440520,141.8607470643,1.0000000000,1.3500994502
109,1,29,1.1741898300,156.3904283580,141.8607470643,160.8479655898,1.0000000000,1.3500994502
108,1,30,1.2920108698,165.3055028215,160.8479655898,180.0000000012,1.0000000000,1.3500994502
100,2,1,1.3425367328,349.3907056421,328.3605173260,350.5507942638,1.3500994502,1.4922821116
101,2,2,1.4349976195,351.7108828854,350.5507942638,1.1600886216,1.3500994502,1.4922821116
114,2,3,1.4067386834,10.6092943578,1.1600886216,17.1087321338,1.3500994502,1.4922821116
130,2,4,1.4188534681,23.6081699098,17.1087321338,38.1382205419,1.3500994502,1.4922821116
143,2,5,1.4859977872,52.6682711740,38.1382205419,59.0400861272,1.3500994502,1.4922821116
142,2,6,1.3906044943,65.4119010804,59.0400861272,74.5969424389,1.3500994502,1.4922821116
153,2,7,1.4334125936,83.7819837974,74.5969424389,90.0000000003,1.3500994502,1.4922821116
152,2,8,1.4926774161,96.2180162033,90.0000000003,105.4030575615,1.3500994502,1.4922821116
139,2,9,1.4664727010,114.5880989196,105.4030575615,120.9593981471,1.3500994502,1.4922821116
124,2,10,1.3480726371,127.3306973746,120.9593981471,134.5691717430,1.3500994502,1.4922821116
123,2,11,1.4358987829,141.8076461114,134.5691717430,146.2374960267,1.3500994502,1.4922821116
122,2,12,1.4435695557,150.6673459420,146.2374960267,160.0290257917,1.3500994502,1.4922821116
