cell_id_a,cell_id_b,in_original,in_final,status
1,2,0,1,new
1,7,1,1,preserved
1,9,0,1,new
2,3,1,1,preserved
2,4,0,1,new
2,10,0,1,new
2,12,1,1,preserved
3,4,1,1,preserved
3,11,0,1,new
3,12,0,1,new
3,13,1,1,preserved
4,11,0,1,new
4,14,1,1,preserved
4,15,0,1,new
5,6,1,1,preserved
5,18,1,1,preserved
5,19,0,1,new
6,7,1,1,preserved
6,19,1,1,preserved
7,8,1,1,preserved
7,20,1,1,preserved
8,9,1,1,preserved
8,20,0,1,new
8,21,1,1,preserved
9,10,1,1,preserved
9,22,1,0,lost
9,24,0,1,new
10,11,1,0,lost
10,12,0,1,new
10,23,1,1,preserved
10,25,0,1,new
11,12,1,0,lost
11,13,0,1,new
11,14,0,1,new
11,24,1,0,lost
12,13,1,1,preserved
12,25,1,1,preserved
13,14,1,1,preserved
13,25,0,1,new
13,26,1,0,lost
13,38,0,1,new
13,42,0,1,new
14,15,1,1,preserved
14,27,1,0,lost
14,28,0,1,new
15,16,1,1,preserved
15,28,1,1,preserved
16,17,1,1,preserved
16,28,0,1,new
16,29,1,0,lost
17,30,1,1,preserved
17,31,0,1,new
18,19,1,1,preserved
18,32,1,1,preserved
19,20,1,1,preserved
19,33,1,1,preserved
19,34,0,1,new
20,21,1,1,preserved
20,22,0,1,new
20,34,1,1,preserved
21,22,1,1,preserved
21,24,0,1,new
21,35,1,1,preserved
22,23,1,0,lost
22,34,0,1,new
22,36,1,0,lost
22,50,0,1,new
23,24,1,1,preserved
23,25,0,1,new
23,37,1,1,preserved
24,25,1,0,lost
24,36,0,1,new
24,37,0,1,new
24,38,1,0,lost
25,26,1,0,lost
25,39,1,1,preserved
26,27,1,1,preserved
26,40,1,0,lost
26,41,0,1,new
26,43,0,1,new
26,57,0,1,new
27,28,1,1,preserved
27,29,0,1,new
27,41,1,1,preserved
27,42,0,1,new
28,29,1,1,preserved
28,30,0,1,new
28,42,1,1,preserved
29,30,1,1,preserved
29,43,1,1,preserved
29,44,0,1,new
30,31,1,1,preserved
30,44,1,1,preserved
30,45,0,1,new
31,45,1,1,preserved
31,74,0,1,new
32,33,1,1,preserved
32,47,1,1,preserved
