cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
1,2,5,5,5,0,8,6,1.8417748077,232.644390,227.627884,5.016506,226.877837,228.377932,1.500095,1.7083333333,1.8500000000,1,1,0,2
2,2,10,5,5,0,9,9,1.8385275018,255.601413,255.821835,0.220422,248.161046,263.482624,15.321577,1.7083333333,1.8500000000,2,2,0,3
3,2,11,4,5,1,13,10,1.7697204004,261.266950,268.071951,6.805001,263.482624,272.661278,9.178654,1.7083333333,1.8500000000,3,3,0,0
4,2,12,5,5,0,10,11,1.7974858946,267.266385,278.034175,10.767790,272.661278,283.407071,10.745793,1.7083333333,1.8500000000,2,2,0,1
5,3,3,5,5,0,6,7,1.8267474442,221.774885,229.127932,7.353046,228.377932,229.877932,1.500000,1.7083333333,1.8500000000,2,1,1,2
6,3,4,5,5,0,7,8,1.7898997621,225.025203,239.019489,13.994286,229.877932,248.161046,18.283115,1.7083333333,1.8500000000,3,2,1,3
7,3,5,4,4,0,7,6,1.7743431353,228.711431,228.544885,0.166545,226.656231,230.433540,3.777309,1.5666666667,1.7083333333,4,4,0,3
8,3,6,4,4,0,8,7,1.7374074748,232.667135,231.816126,0.851009,230.433540,233.198712,2.765172,1.5666666667,1.7083333333,3,3,0,1
9,3,7,4,4,0,9,8,1.7456976302,237.223662,240.440163,3.216501,233.198712,247.681614,14.482902,1.5666666667,1.7083333333,3,3,0,2
10,3,8,4,4,0,10,9,1.7614871531,242.124469,250.091304,7.966836,247.681614,252.500994,4.819380,1.5666666667,1.7083333333,3,3,0,1
11,3,9,4,4,0,11,10,1.7648838260,247.680785,254.716405,7.035620,252.500994,256.931816,4.430822,1.5666666667,1.7083333333,3,3,0,1
12,3,10,4,4,0,12,11,1.7390475009,253.391183,260.114813,6.723630,256.931816,263.297809,6.365993,1.5666666667,1.7083333333,4,4,0,0
13,3,11,3,4,1,11,12,1.6747921672,259.971230,268.426724,8.455494,263.297809,273.555638,10.257829,1.5666666667,1.7083333333,4,4,0,0
14,3,12,3,4,1,12,13,1.6908793637,266.834130,278.684552,11.850422,273.555638,283.813467,10.257829,1.5666666667,1.7083333333,4,4,0,0
